"date","date_time","FD07_flux","FD08_flux","FD09_flux","FD07_flux_median","FD08_flux_median","FD09_flux_median","soil_CO2_5cm","soil_CO2_15cm","soil_CO2_25cm","soil_temp_5cm","soil_temp_15cm","soil_temp_25cm","ATM_temp"
2016-08-28,2016-08-28 00:00:00,1.439932182,0.798053161,1.902513766,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 01:00:00,1.110627304,0.917134392,1.177923562,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 02:00:00,1.438378857,0.662258775,1.478907186,1.287706342,0.662258775,1.177923562,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 03:00:00,1.23644662,0.611074737,0.936393494,1.23644662,0.662258775,1.086885306,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 04:00:00,1.287706342,0.662258775,0.966120272,1.23644662,0.611074737,1.086885306,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 05:00:00,0.731616028,0.339485965,1.086885306,1.161887025,0.594361582,0.966120272,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 06:00:00,1.161887025,0.594361582,1.116612084,1.161887025,0.339485965,0.966120272,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 07:00:00,1.161887025,-0.203691579,-0.061311479,1.161887025,0.339485965,0.754316982,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 08:00:00,1.514491778,0.305015082,0.754316982,1.161887025,0.441854041,0.754316982,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 09:00:00,0.85898867,0.457522624,0.693005503,1.009661185,0.305015082,0.754316982,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 10:00:00,1.009661185,0.441854041,0.966120272,0.85898867,0.305015082,0.934535571,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 11:00:00,0.352604752,0.220404734,1.660983698,0.630649909,0.237117889,0.966120272,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 12:00:00,0.630649909,0.237117889,0.934535571,0.379011276,0.220404734,1.085027382,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 13:00:00,0.352604752,0.203691579,1.085027382,0.352604752,0.203691579,1.085027382,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 14:00:00,0.379011276,0.152507541,1.116612084,0.352604752,0.152507541,1.085027382,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 15:00:00,0.327751554,0.119081231,1.025573827,0.352604752,0.152507541,1.116612084,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 16:00:00,0.276491832,0.152507541,1.20765034,0.379011276,0.152507541,1.20765034,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 17:00:00,0.504830592,0.169220696,1.235519194,0.428717672,0.169220696,1.20765034,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 18:00:00,0.428717672,0.35619912,1.237377118,0.504830592,0.169220696,1.20765034,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 19:00:00,0.756469226,0.305015082,0.99584705,0.554536989,0.254875617,1.235519194,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 20:00:00,0.857435345,0.153552113,1.205792416,0.554536989,0.305015082,1.205792416,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 21:00:00,0.554536989,0.254875617,1.296830673,0.554536989,0.305015082,1.118470007,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 22:00:00,0.554536989,0.457522624,1.118470007,0.554536989,0.340530537,1.118470007,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-28,2016-08-28 23:00:00,0.379011276,0.475280351,0.967978196,0.379011276,0.357243692,0.967978196,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-29,2016-08-29 00:00:00,0.201932237,0.340530537,0.966120272,0.379011276,0.457522624,0.966120272,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-29,2016-08-29 01:00:00,0.329304879,0.357243692,0.453333358,0.379011276,0.475280351,0.904808793,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-29,2016-08-29 02:00:00,0.506383917,0.662258775,0.81562846,0.329304879,0.357243692,0.904808793,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-29,2016-08-29 03:00:00,0.504830593,0.475280351,0.904808793,0.504830593,0.357243692,0.81562846,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-29,2016-08-29 04:00:00,0.026406523,-0.407383158,1.027431751,0.504830593,0.254875617,0.875082016,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-29,2016-08-29 05:00:00,0.556090314,-0.289346499,0.785901683,0.379011276,0.254875617,0.875082016,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-29,2016-08-29 06:00:00,0.278045157,0.254875617,0.875082016,0.379011276,0.254875617,0.785901683,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-29,2016-08-29 07:00:00,0.379011276,0.271588772,0.271256846,0.504830592,0.271588772,0.784043759,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-29,2016-08-29 08:00:00,0.681909631,0.306059655,0.784043759,0.504830592,0.271588772,0.784043759,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-29,2016-08-29 09:00:00,0.504830592,0.390670003,0.635409871,0.504830592,0.306059655,0.784043759,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-29,2016-08-29 10:00:00,0.984807987,0.271588772,0.785901683,0.504830592,0.306059655,0.784043759,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-29,2016-08-29 11:00:00,0.177079039,0.407383158,0.936393494,0.177079039,0.373956848,0.635409871,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016-08-29,2016-08-29 12:00:00,0.177079039,0.220404734,0.39202188,0.177079039,0.271588772,0.785901683,-9999,-9999,-9999,-9999,-9999,-9999,-9999
