"date","date_time","FD23_flux","FD24_flux","FD23_flux_median","FD24_flux_median","soil_CO2_5cm","soil_CO2_15cm","soil_CO2_25cm","soil_temp_5cm","soil_temp_15cm","soil_temp_25cm"
2017-06-23,2017-06-23 17:00:00,1.013372978,0.73873707,-9999,-9999,721.5,563.5,1021,12.06,5.914,3.76
2017-06-23,2017-06-23 18:00:00,1.248149697,0.971457148,-9999,-9999,750.7,579.7,907,10.62,6.065,3.894
2017-06-23,2017-06-23 19:00:00,0.409661417,0.621780312,1.013372978,0.73873707,713.2,565.1,827,9.79,5.711,3.659
2017-06-23,2017-06-23 20:00:00,0.955876639,1.069318925,0.955876639,0.893883789,765.5,589.6,770.4,7.64,5.665,3.751
2017-06-23,2017-06-23 21:00:00,1.014570819,0.719642089,0.955876639,0.893883789,749.2,568.4,719.9,7.517,5.248,3.713
2017-06-23,2017-06-23 22:00:00,0.936711193,0.893883789,1.014570819,0.893883789,760.6,566.8,684.1,7.077,4.72,3.442
2017-06-23,2017-06-23 23:00:00,1.034934106,0.91297877,1.014570819,0.836598846,723.2,570.1,645,4.167,4.098,3.114
2017-06-24,2017-06-24 00:00:00,1.015768659,0.642068729,0.936711193,0.836598846,747.9,567,632.2,3.599,3.236,2.717
2017-06-24,2017-06-24 01:00:00,0.83968612,0.836598846,0.917545746,0.642068729,642,562.1,602.9,2.733,2.629,2.231
2017-06-24,2017-06-24 02:00:00,0.878017013,0.602685331,0.878017013,0.602685331,633.9,562.1,599.6,2.67,2.203,2.047
2017-06-24,2017-06-24 03:00:00,0.917545746,0.506016991,0.83968612,0.563301934,635.5,552.4,581.7,3.86,2.096,1.888
2017-06-24,2017-06-24 04:00:00,0.780991941,0.428443632,0.819322834,0.563301934,545.8,545.8,575.2,4.309,2.234,1.68
2017-06-24,2017-06-24 05:00:00,0.819322834,0.563301934,0.819322834,0.563301934,560.5,554,575.2,4.505,2.362,1.808
2017-06-24,2017-06-24 06:00:00,0.780991941,0.642068729,0.819322834,0.642068729,721.8,580,575.2,5.38,2.548,1.786
2017-06-24,2017-06-24 07:00:00,1.052901712,0.73873707,0.819322834,0.642068729,818,602.9,565.4,6.229,2.64,1.774
2017-06-24,2017-06-24 08:00:00,0.917545746,0.778120468,0.83848828,0.700547108,721.8,588.2,560.5,7.77,3,1.84
2017-06-24,2017-06-24 09:00:00,0.643240295,0.602685332,0.83848828,0.700547108,653.4,565.4,563.7,9.96,3.617,2.112
2017-06-24,2017-06-24 10:00:00,0.83848828,0.700547108,0.83848828,0.602685332,703.6,587.9,548.8,10.62,4.155,2.374
2017-06-24,2017-06-24 11:00:00,0.83848828,0.466633593,0.83848828,0.466633593,716.5,569.9,543.9,9.37,4.634,2.629
