"date","date_time","FD07_flux","FD16_flux","FD18_flux","FD07_flux_median","FD16_flux_median","FD18_flux_median","soil_CO2_5cm","soil_CO2_15cm","soil_CO2_25cm","soil_temp_5cm","soil_temp_15cm","soil_temp_25cm","ATM_temp"
2017-11-01,2017-11-01 13:00:00,1.0919874047,0.786183315199999,0.542271372299999,-9999,-9999,-9999,979,-9999,-9999,-0.044,-0.184,0.008,-2.934
2017-11-01,2017-11-01 14:00:00,1.6744842422,0.899724012799999,0.3620412369,-9999,-9999,-9999,943,-9999,-9999,-0.098,-0.168,0.059,-2.935
2017-11-01,2017-11-01 15:00:00,1.7770036856,0.899724012800001,0.282992931900001,1.7770036856,0.899724012800001,0.3620412369,949,-9999,-9999,-0.117,-0.204,0.023,-3.358
2017-11-01,2017-11-01 16:00:00,2.1653349106,1.1801351296,0.3098693556,1.7770036856,0.9564943616,0.3620412369,946,-9999,-9999,-0.047,-0.082,0.005,-3.904
2017-11-01,2017-11-01 17:00:00,2.1606749359,1.0958397632,0.542271372299999,1.7770036856,0.9564943616,0.542271372299999,959,-9999,-9999,0.006,-0.116,0.076,-5.049
2017-11-01,2017-11-01 18:00:00,1.7505971623,0.9564943616,0.542271372299999,1.7505971623,0.9564943616,0.542271372299999,959,-9999,-9999,-0.1,-0.275,0.039,-5.687
2017-11-01,2017-11-01 19:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-01 20:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-01 21:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-01 22:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-01 23:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-02 00:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-02 01:00:00,0.633756559199999,0.562542547200001,0.724082473800001,1.7505971623,0.7036082624,0.542271372299999,876,-9999,-9999,-0.325,-0.202,0.094,-13.54
2017-11-02,2017-11-02 02:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-02 03:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-02 04:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-02 05:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-02 06:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-02 07:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-02 08:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-02 09:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-02 10:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-02 11:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-02 12:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-02 13:00:00,1.040727683,0.393951814400002,0.362041236900001,1.7505971623,0.701887948799999,0.6719105925,850,-9999,-9999,-1.068,-0.438,0.033,-5.375
2017-11-02,2017-11-02 14:00:00,2.081455366,0.7036082624,0.6972060501,2.0317489692,0.701887948799999,0.6719105925,902,-9999,-9999,-0.993,-0.555,-0.084,-4.558
2017-11-02,2017-11-02 15:00:00,2.0317489692,0.701887948799999,0.6719105925,2.034855619,0.7036082624,0.5944432536,907,-9999,-9999,-1.1,-0.61,0.036,-4.331
2017-11-02,2017-11-02 16:00:00,2.034855619,0.7036082624,0.516975914700001,2.034855619,0.7036082624,0.5944432536,899,-9999,-9999,-0.871,-0.679,0.125,-4.647
2017-11-02,2017-11-02 17:00:00,2.0581554925,0.844673977599999,0.5944432536,2.0317489692,0.7036082624,0.5944432536,907,-9999,-9999,-0.983,-0.791,0.03,-4.83
2017-11-02,2017-11-02 18:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-02,2017-11-02 19:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-02 20:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-02 21:00:00,1.7304039386,-9999,0.5944432536,1.7304039386,-9999,0.5944432536,907,-9999,-9999,-0.904,-0.712,0.057,-4.609
2017-11-03,2017-11-02 22:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-02 23:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 00:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 01:00:00,0.3044516804,0.2253610816,0.336745779300001,1.273726418,0.844673977599999,0.5944432536,933,-9999,-9999,-0.648,-0.735,-0.124,-3.805
2017-11-03,2017-11-03 02:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 03:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 04:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 05:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 06:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 07:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 08:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 09:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 10:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 11:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 12:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 13:00:00,1.273726418,1.1887366976,0.619738711199999,1.1370338268,0.844673977599999,0.5944432536,872,1240,1609,-0.564,-0.564,-0.144,-1.631
2017-11-03,2017-11-03 14:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 15:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 16:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017-11-03,2017-11-03 17:00:00,1.1370338268,1.1887366976,0.619738711199999,1.0686875312,0.842953664,0.542271372299999,872,1240,1609,-0.629,-0.524,-0.122,-2.731
2017-11-03,2017-11-03 18:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
