"date","date_time","FD20_flux","FD21_flux","FD20_flux_median","FD21_flux_median","soil_CO2_5cm","soil_CO2_15cm","soil_CO2_25cm","soil_temp_5cm","soil_temp_15cm","soil_temp_25cm","ATM_temp"
2017-07-28,2017-07-28 18:00:00,0.388074378,1.241634199,-9999,-9999,1282,-9999,-9999,16.96,8.01,5.775,-9999
2017-07-28,2017-07-28 19:00:00,0.280328912,1.431561595,0.372818383,1.284270961,1326,-9999,-9999,16.29,7.899,5.763,-9999
2017-07-28,2017-07-28 20:00:00,0.372818383,1.284270961,0.372818383,1.284270961,1334,-9999,-9999,15.61,8.01,5.871,-9999
2017-07-28,2017-07-28 21:00:00,0.451005358,1.556887836,0.341352893,1.284270961,1351,-9999,-9999,15.42,7.948,6.019,-9999
2017-07-28,2017-07-28 22:00:00,0.185932442,1.284270961,0.372818383,1.284270961,1338,-9999,-9999,14.85,8.02,6.041,-9999
2017-07-28,2017-07-28 23:00:00,0.341352893,1.178325067,0.451005358,1.556887836,1284,-9999,-9999,13.54,7.999,6.088,-9999
2017-07-29,2017-07-29 00:00:00,0.745636765,1.978087366,0.745636765,1.410889225,1339,-9999,-9999,12.62,7.9,6.058,-9999
2017-07-29,2017-07-29 01:00:00,1.056477668,1.578852228,1.056477668,1.578852228,1367,-9999,-9999,11.27,7.843,6.207,-9999
2017-07-29,2017-07-29 02:00:00,1.133711143,1.410889225,1.087943158,1.643453383,1385,-9999,-9999,9.79,7.597,6.081,-9999
2017-07-29,2017-07-29 03:00:00,1.212851618,1.643453383,1.087943158,1.578852228,1418,-9999,-9999,8.54,7.332,6.161,-9999
2017-07-29,2017-07-29 04:00:00,1.087943158,-9999,1.087943158,-9999,1459,-9999,-9999,8.14,7.175,5.865,-9999
2017-07-29,2017-07-29 05:00:00,0.543494829,1.832088756,0.932522707,1.410889225,1354,-9999,-9999,7.864,6.797,5.815,-9999
2017-07-29,2017-07-29 06:00:00,0.932522707,-9999,0.543494829,-9999,1312,-9999,-9999,8.48,6.74,5.689,-9999
2017-07-29,2017-07-29 07:00:00,0.264119417,1.326907724,0.388074378,1.326907724,1213,-9999,-9999,9.26,6.717,5.786,-9999
2017-07-29,2017-07-29 08:00:00,0.388074378,1.22096183,0.264119417,1.22096183,1092,5853,-9999,9.55,6.49,5.542,-9999
2017-07-29,2017-07-29 09:00:00,0.233607427,1.010362064,0.247909922,1.031034434,986,5706,-9999,10.9,6.659,5.469,-9999
2017-07-29,2017-07-29 10:00:00,0.247909922,1.031034434,0.247909922,1.010362064,917,5533,-9999,12.3,6.576,5.403,-9999
2017-07-29,2017-07-29 11:00:00,0.170676446,0.630507273,0.247909922,0.8837438,836,5310,-9999,13.53,6.783,5.404,-9999
2017-07-29,2017-07-29 12:00:00,0.264119417,0.777797906,0.247909922,0.820434669,787,5067,-9999,13.98,6.971,5.592,-9999
2017-07-29,2017-07-29 13:00:00,0.341352893,0.8837438,0.248863422,0.777797906,791.9,4846,-9999,13.68,7.042,5.473,-9999
2017-07-29,2017-07-29 14:00:00,0.140164456,0.820434669,0.248863422,0.777797906,765.8,4714,-9999,14.31,7.308,5.775,-9999
2017-07-29,2017-07-29 15:00:00,0.248863422,0.231272135,0.248863422,0.568490164,833,4732,-9999,14.85,7.506,5.679,-9999
2017-07-29,2017-07-29 16:00:00,0.123954961,0.568490164,0.248863422,0.294581267,867,4759,-9999,14.44,7.621,5.812,-9999
2017-07-29,2017-07-29 17:00:00,0.357562388,0.294581267,0.326096897,0.253236528,773.9,4699,-9999,13.54,7.709,5.831,-9999
2017-07-29,2017-07-29 18:00:00,0.326096897,0.210599765,0.326096897,0.253236528,746.2,4688,-9999,13.03,7.655,5.882,-9999
2017-07-29,2017-07-29 19:00:00,0.419539868,0.253236528,0.326096897,0.210599765,760.9,4645,-9999,12.58,7.759,6.002,-9999
2017-07-29,2017-07-29 20:00:00,0.248863422,0.147290633,0.264119417,0.147290633,713.6,4635,-9999,11.45,7.728,6.075,-9999
2017-07-29,2017-07-29 21:00:00,0.264119417,0.126618264,0.248863422,0.147290633,712,4587,-9999,10.73,7.64,6.09,-9999
2017-07-29,2017-07-29 22:00:00,0.202141936,0.147290633,0.202141936,0.147290633,728.5,4560,-9999,10.03,7.575,6.18,-9999
2017-07-29,2017-07-29 23:00:00,0.170676446,0.210599765,0.186885941,0.147290633,684.5,4526,-9999,9.36,7.383,6.005,-9999
2017-07-30,2017-07-30 00:00:00,0.186885941,0.273908897,0.170676446,0.147290633,643.8,4463,-9999,8.84,7.238,6.014,-9999
2017-07-30,2017-07-30 01:00:00,0.170676446,0.147290633,0.170676446,0.210599765,666.6,4495,-9999,8.11,7.012,5.84,-9999
2017-07-30,2017-07-30 02:00:00,0.155420451,0.147290633,0.186885941,0.189927396,686.2,4508,-9999,7.236,6.943,5.806,-9999
2017-07-30,2017-07-30 03:00:00,0.279375412,0.210599765,0.170676446,0.169255026,699.2,4505,-9999,6.54,6.713,5.799,-9999
2017-07-30,2017-07-30 04:00:00,0.232653927,0.189927396,0.232653927,0.169255026,709,4468,-9999,6.082,6.461,5.651,-9999
2017-07-30,2017-07-30 05:00:00,0.155420451,0.169255026,0.279375412,0.188635373,682.9,4459,-9999,5.417,6.262,5.451,-9999
2017-07-30,2017-07-30 06:00:00,0.342306392,0.126618264,0.342306392,0.188635373,717.3,4481,-9999,5.225,6.106,5.329,-9999
2017-07-30,2017-07-30 07:00:00,0.404283873,0.188635373,0.342306392,0.188635373,722.2,4460,-9999,5.268,5.993,5.355,-9999
2017-07-30,2017-07-30 08:00:00,0.388074378,0.231272135,0.388074378,0.231272135,767.8,4439,-9999,5.098,5.805,5.149,-9999
2017-07-30,2017-07-30 09:00:00,0.248863422,0.589162534,0.388074378,0.505181032,820,4419,-9999,5.777,5.57,5.103,-9999
2017-07-30,2017-07-30 10:00:00,0.388074378,0.652471666,0.388074378,0.589162534,861,4425,-9999,6.289,5.599,4.909,-9999
2017-07-30,2017-07-30 11:00:00,0.357562388,0.505181032,0.357562388,0.589162534,867,4415,-9999,7.96,5.583,5.014,-9999
2017-07-30,2017-07-30 12:00:00,0.389027878,0.589162534,0.357562388,0.589162534,924,4437,-9999,11.22,5.713,5.005,-9999
2017-07-30,2017-07-30 13:00:00,0.264119417,0.463836293,0.264119417,0.589162534,997,4416,-9999,13.08,5.847,5.001,-9999
2017-07-30,2017-07-30 14:00:00,0.186885941,0.799762299,0.264119417,0.799762299,1018,4388,-9999,14.59,6,5.05,-9999
2017-07-30,2017-07-30 15:00:00,0.155420451,0.799762299,0.202141936,0.799762299,1051,4336,-9999,15.28,6.45,5.156,-9999
