Source,Reference_number,Duplicate_record,soil.id,Reference,Latitude_deg,Longitude_deg,Soil_type,Depth_cm,Ecosystem_type,climate,Temp_mean,q10calc,substrate,Q10,corg,norg,clay,ph
Hamdi2013,7,,20,Chapman and Thurlow 1998,60_50'N,,Herm,0 to 20,peat,temperate,3,sequential,N,52,,,,3.65
Hamdi2013,7,,20,Chapman and Thurlow 1998,60_50'N,,Herm,0 to 20,peat,temperate,8,sequential,N,9,,,,3.65
Hamdi2013,7,,20,Chapman and Thurlow 1998,60_50'N,,Herm,0 to 20,peat,temperate,17.5,equal-time,N,4.6,,,,3.65
Hamdi2013,7,,21,Chapman and Thurlow 1998,56_07'N,,Loch1,0 to 20,peat,temperate,7,sequential,N,2.5,,,,2.95
Hamdi2013,7,,21,Chapman and Thurlow 1998,56_07'N,,Loch1,0 to 20,peat,temperate,17.5,equal-time,N,1.9,,,,2.95
Hamdi2013,7,,22,Chapman and Thurlow 1998,56_07'N,,Loch2,0 to 20,peat,temperate,7,sequential,N,2.7,,,,3.03
Hamdi2013,7,,22,Chapman and Thurlow 1998,56_07'N,,Loch2,0 to 20,peat,temperate,17.5,equal-time,N,2.5,,,,3.03
Hamdi2013,7,,23,Chapman and Thurlow 1998,60_35'N,,Rea,0 to 20,peat,temperate,3,sequential,N,49,,,,
Hamdi2013,7,,23,Chapman and Thurlow 1998,60_35'N,,Rea,0 to 20,peat,temperate,8,sequential,N,14,,,,
Hamdi2013,7,,23,Chapman and Thurlow 1998,60_35'N,,Rea,0 to 20,peat,temperate,17.5,equal-time,N,3.8,,,,
Hamdi2013,7,,24,Chapman and Thurlow 1998,57_11'N,,Sken,0 to 20,peat,temperate,3,sequential,N,12,,,,3.3
Hamdi2013,7,,24,Chapman and Thurlow 1998,57_11'N,,Sken,0 to 20,peat,temperate,12.5,sequential,N,2.5,,,,3.3
Hamdi2013,7,,25,Chapman and Thurlow 1998,57_20'N,,Tonb,0 to 20,peat,temperate,10.5,sequential,N,3.3,,,,2.89
Hamdi2013,7,,26,Chapman and Thurlow 1998,60_20'N,,Voe,0 to 20,peat,temperate,8,sequential,N,8.1,,,,3.22
Hamdi2013,7,,26,Chapman and Thurlow 1998,60_20'N,,Voe,0 to 20,peat,temperate,17.5,equal-time,N,3.2,,,,3.22
Hamdi2013,8,,27,Chen et al. 2010,,,Chen-FJ,,forest,warm,20,sequential,N,2.93,3.34,,,
Hamdi2013,8,,28,Chen et al. 2010,,,Chen-GS,,grassland,temperate,20,sequential,N,2.22,9.9,,,
Hamdi2013,8,,29,Chen et al. 2010,,,Chen-HN,,forest,warm,20,sequential,N,3.09,0.74,,,
Hamdi2013,8,,30,Chen et al. 2010,,,Chen-IM,,grassland,temperate,20,sequential,N,3.55,0.95,,,
Hamdi2013,8,,31,Chen et al. 2010,,,Chen-JL,,forest,temperate,20,sequential,N,2,7.69,,,
Hamdi2013,8,,32,Chen et al. 2010,,,Chen-SX,,cultivated,temperate,20,sequential,N,2.37,0.47,,,
Hamdi2013,9,,33,Conant et al. 2008a,,,Champ-cultivated,,cultivated,,23.5,equal-C,N,2.2,1.8,,,
Hamdi2013,9,,34,Conant et al. 2008a,,,Champ-grassland,,grassland,,23.5,equal-C,N,1.2,3.8,,,
Hamdi2013,9,,35,Conant et al. 2008a,40.15_N,103.15_W,CO-cultivated,,cultivated,,30,equal-C,N,3.1,0.7,,,
Hamdi2013,9,,36,Conant et al. 2008a,40.15_N,103.15_W,CO-grassland,,grassland,,30,equal-C,N,1.7,1.2,,,
Hamdi2013,9,,37,Conant et al. 2008a,,,Duke-forest,,forest,,30,equal-C,N,1.7,1,,,
Hamdi2013,9,,38,Conant et al. 2008a,,,Hari-grassland,,grassland,,22,equal-C,N,2.9,2.5,,,
Hamdi2013,9,,39,Conant et al. 2008a,,,Taw-grassland,,grassland,,22,equal-C,N,3,4.6,,,
Hamdi2013,9,,40,Conant et al. 2008a,33.9_N,99.4_W,TE-cultivated,,cultivated,,30,equal-C,N,1.8,1,,,
Hamdi2013,9,,41,Conant et al. 2008a,33.9_N,99.4_W,TE-grassland,,grassland,,30,equal-C,N,1.9,1.1,,,
Hamdi2013,9,,42,Conant et al. 2008a,,,Tima-grassland,,grassland,,22,equal-C,N,3,3.7,,,
Hamdi2013,10,,43,Conant et al. 2008b,46_46'N,100_55'W,ND-cultivated,,cultivated,temperate,9.5,equal-time,N,5.75,2.8,,34.3,
Hamdi2013,10,,43,Conant et al. 2008b,46_46'N,100_55'W,ND-cultivated,,cultivated,temperate,20,equal-time,N,2.53,2.8,,34.3,
Hamdi2013,10,,43,Conant et al. 2008b,46_46'N,100_55'W,ND-cultivated,,cultivated,temperate,30,equal-time,N,2.1,2.8,,34.3,
Hamdi2013,10,,44,Conant et al. 2008b,46_46'N,100_55'W,ND-grassland,,grassland,temperate,9.5,equal-time,N,5.65,3.24,,29.7,
Hamdi2013,10,,44,Conant et al. 2008b,46_46'N,100_55'W,ND-grassland,,grassland,temperate,20,equal-time,N,3.15,3.24,,29.7,
Hamdi2013,10,,44,Conant et al. 2008b,46_46'N,100_55'W,ND-grassland,,grassland,temperate,30,equal-time,N,2.4,3.24,,29.7,
Hamdi2013,10,,45,Conant et al. 2008b,33_50'N,99_02'W,TX-cultivated,,cultivated,warm,9.5,equal-time,N,7.31,1.02,,42.3,
Hamdi2013,10,,45,Conant et al. 2008b,33_50'N,99_02'W,TX-cultivated,,cultivated,warm,20,equal-time,N,3.38,1.02,,42.3,
Hamdi2013,10,,45,Conant et al. 2008b,33_50'N,99_02'W,TX-cultivated,,cultivated,warm,30,equal-time,N,3.31,1.02,,42.3,
Hamdi2013,10,,46,Conant et al. 2008b,33_50'N,99_02'W,TX-grassland,,grassland,warm,9.5,equal-time,N,6.31,1.12,,30.9,
Hamdi2013,10,,46,Conant et al. 2008b,33_50'N,99_02'W,TX-grassland,,grassland,warm,20,equal-time,N,2.81,1.12,,30.9,
Hamdi2013,10,,46,Conant et al. 2008b,33_50'N,99_02'W,TX-grassland,,grassland,warm,30,equal-time,N,3,1.12,,30.9,
Hamdi2013,11,,47,Conen et al. 2006,,,HL-C3,0 to 30,cultivated,temperate,20,equal-time,N,3.2,1.1,,8,
Hamdi2013,11,,48,Conen et al. 2006,,,HL-C4,0 to 30,cultivated,temperate,20,equal-time,N,3.2,1.12,,8,
Hamdi2013,11,,49,Conen et al. 2006,"48_21'47""N","13_11'46""W",RM-C3,0 to 30,cultivated,temperate,20,equal-time,N,3.7,1.27,,17,
Hamdi2013,11,,50,Conen et al. 2006,"48_21'47""N","13_11'46""W",RM-C4,0 to 30,cultivated,temperate,20,equal-time,N,4.8,1.37,,17,
Hamdi2013,12,,51,Conen et al. 2008,,,Basel-C,,cultivated,temperate,20,equal-time,N,3.3,9.2,,,
Hamdi2013,12,,52,Conen et al. 2008,,,Basel-M,,cultivated,temperate,20,equal-time,N,2.9,13.3,,,
Hamdi2013,13,,53,Cross and Grace 2010,"55_12'59""N","2_1'28""W",Fresh,5 to 15,forest,temperate,7.5,sequential,N,2.54,39.1,1.9,,
Hamdi2013,13,,53,Cross and Grace 2010,"55_12'59""N","2_1'28""W",Fresh,5 to 15,forest,temperate,13,sequential,N,2.39,39.1,1.9,,
Hamdi2013,13,,53,Cross and Grace 2010,"55_12'59""N","2_1'28""W",Fresh,5 to 15,forest,temperate,19,sequential,N,2.59,39.1,1.9,,
Hamdi2013,13,,53,Cross and Grace 2010,"55_12'59""N","2_1'28""W",Fresh,5 to 15,forest,temperate,26,sequential,N,2.68,39.1,1.9,,
Hamdi2013,13,,54,Cross and Grace 2010,"55_12'59""N","2_1'28""W",Old,20 to 30,forest,temperate,7.5,sequential,N,1.8,21.7,0.7,,
Hamdi2013,13,,54,Cross and Grace 2010,"55_12'59""N","2_1'28""W",Old,20 to 30,forest,temperate,13,sequential,N,2.28,21.7,0.7,,
Hamdi2013,13,,54,Cross and Grace 2010,"55_12'59""N","2_1'28""W",Old,20 to 30,forest,temperate,19,sequential,N,2.21,21.7,0.7,,
Hamdi2013,13,,54,Cross and Grace 2010,"55_12'59""N","2_1'28""W",Old,20 to 30,forest,temperate,26,sequential,N,2.6,21.7,0.7,,
Hamdi2013,14,,55,Curiel Yuste et al. 2007,"38_53'42.9""N","120_37'57.9""W",yuste-bc,,forest,temperate,27.5,sequential,N,1.6,13.9,,,
Hamdi2013,14,,56,Curiel Yuste et al. 2007,"38_53'42.9""N","120_37'57.9""W",yuste-bt,,forest,temperate,27.5,sequential,N,1.65,6.4,,,
Hamdi2013,14,,57,Curiel Yuste et al. 2007,"38_53'42.9""N","120_37'57.9""W",yuste-to,,grassland,temperate,27.5,sequential,N,1.75,1.7,,,
Hamdi2013,14,,58,Curiel Yuste et al. 2007,"38_53'42.9""N","120_37'57.9""W",yuste-tu,,grassland,temperate,27.5,sequential,N,1.7,3.9,,,
Hamdi2013,15,,59,Cussack et al. 2010,18.3_N,65.8_W,Lower-C,0 to 10,forest,warm,26,equal-time,N,1.45,3.7,0.27,,4
Hamdi2013,15,,59,Cussack et al. 2010,18.3_N,65.8_W,Lower-C,0 to 10,forest,warm,26,equal-C,N,1.44,3.7,0.27,,4
Hamdi2013,15,,60,Cussack et al. 2010,18.3_N,65.8_W,Lower-N,0 to 10,forest,warm,26,equal-time,Y,1.29,4.2,0.33,,4.1
Hamdi2013,15,,60,Cussack et al. 2010,18.3_N,65.8_W,Lower-N,0 to 10,forest,warm,26,equal-C,Y,1.25,4.2,0.33,,4.1
Hamdi2013,15,,61,Cussack et al. 2010,18.3_N,65.8_W,Upper-C,0 to 10,forest,warm,26,equal-time,N,1.8,3.5,0.18,,4.1
Hamdi2013,15,,61,Cussack et al. 2010,18.3_N,65.8_W,Upper-C,0 to 10,forest,warm,26,equal-C,N,1.65,3.5,0.18,,4.1
Hamdi2013,15,,62,Cussack et al. 2010,18.3_N,65.8_W,Upper-N,0 to 10,forest,warm,26,equal-time,Y,1.6,6.7,0.31,,3.9
