Year,Sample,Temp_range,moisture,moisture_units,Q10,N_species,Latitude,Longitude,Manipulation,Ecosystem_type,Biome,Source,Incubation,notes,StudyName,DOI
,,1_48,,,2.3,NO,,,,,,,lab,,Ormeci1999,https://doi.org/10.1029/98JD02834
,,4_16,,,3.1,NO,,,,forest,,,field,,Gasche1999,https://doi.org/10.1029/1999JD900294
,,,,,1.9,N2O,,,,,,,,,Goodroad1984,
,,10,,,2.4,CO2,,,,farm,,,,,Fang2001,https://doi.org/10.1016/S0038-0717(00)00125-5
,,10,,,3.4,CO2,,,,forest,,,,,Fang2001,https://doi.org/10.1016/S0038-0717(00)00125-5
,,30,,,2.2,CO2,,,,farm,,,,,Fang2001,https://doi.org/10.1016/S0038-0717(00)00125-5
,,30,,,2.9,CO2,,,,forest,,,,,Fang2001,https://doi.org/10.1016/S0038-0717(00)00125-5
,spruce,5_15,55_65,percent WFPS,1.54,,,,,forest,,,,,Papen1999,https://doi.org/10.1029/1999JD900293
,spruce,5_15,65_100,percent WFPS,1.95,,,,,forest,,,,,Papen1999,https://doi.org/10.1029/1999JD900293
,beech,5_15,0_45,percent WFPS,5.47,,,,,forest,,,,,Papen1999,https://doi.org/10.1029/1999JD900293
,beech,5_15,45_55,percent WFPS,7.07,,,,,forest,,,,,Papen1999,https://doi.org/10.1029/1999JD900293
,beech,5_15,55_65,percent WFPS,7.39,,,,,forest,,,,,Papen1999,https://doi.org/10.1029/1999JD900293
,beech,5_15,65_100,percent WFPS,5.89,,,,,forest,,,,,Papen1999,https://doi.org/10.1029/1999JD900293
