Year,Sample,Temp_range,moisture,moisture_units,Q10,N_species,Latitude,Longitude,Manipulation,Ecosystem_type,Biome,Source,Incubation
2013,,15_25,25,percentage v/v,5,N2O,21°55′30″N,101°15′59″E,control,plantation,,Zhou2016,field
2013,,15_25,25,percentage v/v,3.9,N2O,21°55′30″N,101°15′59″E,fertilized,plantation,,Zhou2016,field
