"Year","Sample","Temp_range","Temp_flag","moisture","moisture_units","moisture_flag","Q10","Q10_flag","Species","Latitude","Longitude","Manipulation","Ecosystem_type","Biome","Source","Incubation","notes","notes_data_location","StudyName","DOI","Horizon","Depth_cm","Vegetation","Meas_method","MAT_C","MAP_mm"
,,"1_20",,"2.42","percent",,3.24,"per unit area, mg/m2/d","N2O","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table7","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"beech","GC","6.5","1050"
,,"1_20",,"8.74","percent",,2.38,"per unit area, mg/m2/d","N2O","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table7","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"spruce","GC","6.5","1050"
,,"1_20",,"9.41","percent",,2.99,"per unit area, mg/m2/d","N2O","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table7","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"mixed","GC","6.5","1050"
,,"1_20",,"2.42","percent",,3.44,"per unit mass, mg/kg/d","N2O","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table7","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"beech","GC","6.5","1050"
,,"1_20",,"8.74","percent",,3.84,"per unit mass, mg/kg/d","N2O","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table7","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"spruce","GC","6.5","1050"
,,"1_20",,"9.41","percent",,3.49,"per unit mass, mg/kg/d","N2O","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table7","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"mixed","GC","6.5","1050"
,,"1_20",,"2.42","percent",,3.64,"per unit Nt, mg/kg/d","N2O","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table7","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"beech","GC","6.5","1050"
,,"1_20",,"8.74","percent",,3.39,"per unit Nt, mg/kg/d","N2O","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table7","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"spruce","GC","6.5","1050"
,,"1_20",,"9.41","percent",,3.74,"per unit Nt, mg/kg/d","N2O","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table7","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"mixed","GC","6.5","1050"
,,"1_20",,"2.42","percent",,1.83,"per unit area, mg/m2/d","CO2","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table4","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"beech","GC","6.5","1050"
,,"1_20",,"8.74","percent",,1.73,"per unit area, mg/m2/d","CO2","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table4","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"spruce","GC","6.5","1050"
,,"1_20",,"9.41","percent",,1.64,"per unit area, mg/m2/d","CO2","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table4","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"mixed","GC","6.5","1050"
,,"1_20",,"2.42","percent",,1.94,"per unit mass, mg/kg/d","CO2","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table4","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"beech","GC","6.5","1050"
,,"1_20",,"8.74","percent",,2.26,"per unit mass, mg/kg/d","CO2","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table4","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"spruce","GC","6.5","1050"
,,"1_20",,"9.41","percent",,2.02,"per unit mass, mg/kg/d","CO2","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table4","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"mixed","GC","6.5","1050"
,,"1_20",,"2.42","percent",,1.99,"per unit Nt, mg/kg/d","CO2","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table4","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"beech","GC","6.5","1050"
,,"1_20",,"8.74","percent",,2.24,"per unit Nt, mg/kg/d","CO2","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table4","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"spruce","GC","6.5","1050"
,,"1_20",,"9.41","percent",,2.07,"per unit Nt, mg/kg/d","CO2","51_47'N","9_37'E",,"forest","temperate","Bagherzadeh2008","field",,"Table4","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3","O",,"mixed","GC","6.5","1050"
"1996",,"5_25",,"60","percent WHC",,2.5,,"CO2",,,,,,"Bagherzadeh2008","lab",,"text","Reichstein2000","https://doi.org/10.1016/S0038-0717(00)00002-X",,,,,,
,,"5_35",,,,,2,,"CO2",,,,,,"Bagherzadeh2008","lab",,"text","Kaetterer1998","https://doi.org/10.1007/s003740050430",,,,,,
,,"4_28",,,,,1.8,,"CO2",,,,,,"Bagherzadeh2008","lab",,"text","Winkler1996","https://doi.org/10.1016/0038-0717(96)00076-4",,,,,,
,,,,,,,2.5,,"CO2",,,,,,"Bagherzadeh2008","field",,"text","Boone1998","https://doi.org/10.1038/25119",,,,,,
,"0cm","5_15",,,,,1.87,,"CO2",,,,,,"Bagherzadeh2008","field",,"text","Borken2002","https://doi.org/10.1046/j.1365-2486.2002.00547.x",,,,,,
,"10cm","5_15",,,,,3.46,,"CO2",,,,,,"Bagherzadeh2008","field",,"text","Borken2002","https://doi.org/10.1046/j.1365-2486.2002.00547.x",,,,,,
,"blueberry","10_30",,,,,1.826,"Q10_P used",,"50.1425N","11.8665E",,"spruce forest",,"Behrendt2014","lab",,,"Behrendt2014","https://doi.org/10.5194/bg-11-5463-2014",,,,,,
,"spruce","10_30",,,,,1.679,"Q10_P used",,"50.1420N","11.8673E",,"spruce forest",,"Behrendt2014","lab",,,"Behrendt2014","https://doi.org/10.5194/bg-11-5463-2014",,,,,,
,"grassland","10_30",,,,,1.443,"Q10_P used",,"49.9685N","8.1479E",,"grass-land steppe",,"Behrendt2014","lab",,,"Behrendt2014","https://doi.org/10.5194/bg-11-5463-2014",,,,,,
,"wheat","10_30",,,,,1.488,"Q10_P used",,"41.537N","82.8541E",,"arid oasis agriculture",,"Behrendt2014","lab",,,"Behrendt2014","https://doi.org/10.5194/bg-11-5463-2014",,,,,,
,"desert","10_30",,,,,2.034,"Q10_P used",,"44.1367N","96.6314E",,"hyper-arid desert",,"Behrendt2014","lab",,,"Behrendt2014","https://doi.org/10.5194/bg-11-5463-2014",,,,,,
"1991","stand","7_12",,,"hPa","range: 20_855",-0.9,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","stand","7_12",,,"hPa","range: 20_200",-0.9,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","stand","7_12",,,"hPa","range: 200_400",,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","stand","7_12",,,"hPa","range: 400_600",,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","stand","10_14",,,"hPa","range: 20_855",8.8,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","stand","10_14",,,"hPa","range: 20_200",9.8,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","stand","10_14",,,"hPa","range: 200_400",,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","stand","10_14",,,"hPa","range: 400_600",3.7,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","stand","12_17",,,"hPa","range: 20_855",6.2,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","stand","12_17",,,"hPa","range: 20_200",6,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","stand","12_17",,,"hPa","range: 200_400",6.1,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","stand","12_17",,,"hPa","range: 400_600",-4.7,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","gap center","7_12",,,"hPa","range: 20_200",14.4,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","gap center","10_14",,,"hPa","range: 20_200",2.6,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","gap center","12_17",,,"hPa","range: 20_200",4.4,,"N2O",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
"1991","stand","7_12",,,"hPa","range: 20_855",2.3,,"CO2",,,,"forest",,"Brumme1995","field",,,"Brumme1995","https://doi.org/10.1007/BF00029373",,,,,,
