Year,Sample,Temp_range,moisture,moisture_units,Q10,N_species,Latitude,Longitude,Manipulation,Ecosystem_type,Biome,Source,Incubation,notes,StudyName,DOI
,,5_12,,percent WFPS,50,N2O,,,,arable,,Grant2008,lab,,Dobbie2001,https://doi.org/10.1046/j.1365-2389.2001.00395.x
,,12_18,,percent WFPS,9,N2O,,,,arable,,Grant2008,lab,,Dobbie2001,https://doi.org/10.1046/j.1365-2389.2001.00395.x
,,5_12,,percent WFPS,3.7,N2O,,,,grassland,,Grant2008,lab,,Dobbie2001,https://doi.org/10.1046/j.1365-2389.2001.00395.x
,,12_18,,percent WFPS,2.3,N2O,,,,grassland,,Grant2008,lab,,Dobbie2001,https://doi.org/10.1046/j.1365-2389.2001.00395.x
,0.1,10_30,0.1,m3m-3,,,,,,agriculture,,Grant2008,lab,,Goodroad1984,https://doi.org/10.1016/0038-0717(84)90123-8
,0.2,10_30,0.2,m3m-3,,,,,,agriculture,,Grant2008,lab,,Goodroad1984,https://doi.org/10.1016/0038-0717(84)90123-8
,0.3,10_30,0.3,m3m-3,,,,,,agriculture,,Grant2008,lab,,Goodroad1984,https://doi.org/10.1016/0038-0717(84)90123-8
,,,,,,,,,,,,Grant2008,,,Craswell1978,
,,,,,,,,,,,,Grant2008,,,Smith1998,
,,,,,3.7,,,,,,,Grant2008,field,,Parkin2006,https://doi.org/10.2134/jeq2005.0183
2004,,10_20,72,percent WFPS,5.4,N2O,,control,,,,Parkin2006,,,Maag1999,https://doi.org/10.2136/sssaj1999.634858x
,,10_20,72,percent WFPS,3.8,DN,,control,,,,Parkin2006,,,Maag1999,https://doi.org/10.2136/sssaj1999.634858x
,,10_20,43,percent WFPS,2.4,CO2,,control,,,,Parkin2006,,,Maag1999,https://doi.org/10.2136/sssaj1999.634858x
,,10_20,57,percent WFPS,2.5,CO2,,control,,,,Parkin2006,,,Maag1999,https://doi.org/10.2136/sssaj1999.634858x
,,10_20,72,percent WFPS,2.1,CO2,,control,,,,Parkin2006,,,Maag1999,https://doi.org/10.2136/sssaj1999.634858x
,,5_15,,,8.3,DN,,,,,,Maag1999,,,Smid1976,https://doi.org/10.4141/cjss76-047
,,15_25,,,2.2,DN,,,,,,Maag1999,,,Smid1976,https://doi.org/10.4141/cjss76-047
