Source,Incubation,Record_number,Site_name,Latitude,Longitude,Elevation_m,Species,MAT_C,MMT_C,MAP_mm,Organic_C_perc,Texture,pH,B,Q10,Temp_range
Fierer2006,lab,BB1,"Bear Brook, ME, USA",44.87,-68.1,400,Picea rubens,6.1,18,1200,12.8,sandy loam,4.3,0.4,2.7,10_30
Fierer2006,lab,BB2,"Bear Brook, ME, USA",44.87,-68.1,400,"Fagus grandifolia, Acer rubrum, Acer saccharum, Betula alleghaniensis",6.1,18,1200,5.2,sandy loam,4.6,0.4,2.8,10_30
Fierer2006,lab,BF1,"Bousson Forest, PA USA",41.58,-80.05,390,"Acer saccharum, Fagus grandifolia, Prunus serotina",7.8,18,1000,6.4,loam,4.1,1.1,3,10_30
Fierer2006,lab,BF2,"Bousson Forest, PA USA",41.58,-80.05,390,"Acer saccharum, Fagus grandifolia, Prunus serotina",7.8,18,1000,9.5,loam,3.6,0.6,3.5,10_30
Fierer2006,lab,BP1,"Badlands National Park, SD",43.75,-102.38,1000,"Agropyron smithii, Schizachyrium scoparium",6.6,18,450,3.1,silt loam,7.5,3,2.8,10_30
Fierer2006,lab,BZ1,"Bonanza Creek LTER, AK USA",64.8,-148.25,300,Picea glauca,-2.9,11,260,3,silt loam,5.1,1.8,2.6,10_30
Fierer2006,lab,BZ2,"Bonanza Creek LTER, AK USA",64.8,-148.25,300,Picea glauca,-2.9,11,260,3,silt loam,5.2,2.8,2.6,10_30
Fierer2006,lab,BZ3,"Bonanza Creek LTER, AK USA",64.8,-148.25,300,Picea glauca,-2.9,11,260,3.7,silt loam,5.4,3.3,2.4,10_30
Fierer2006,lab,CA1,"Cedar Mtn., AZ USA",36.05,-111.77,2003,Pinus edulis,10.3,15,400,1.7,silt loam,7.3,2.7,2.6,10_30
Fierer2006,lab,CA2,"Cedar Mtn., AZ USA",36.05,-111.77,2003,Juniperus monosperma,10.3,15,400,2.2,silt loam,8,0.5,4.1,10_30
Fierer2006,lab,CC1,"Cedar Creek LTER, MN USA",45.4,-93.2,110,"Carex muhlenbergii, Andropogon gerardii, Poa pratensis,Schizachyrium scoparium",5.8,18,720,1.9,sand,6.1,2,2.6,10_30
Fierer2006,lab,CF1,"Catskills, NY USA",42.17,-74.26,800,"Acer saccharum, Fagus grandifolia, Acer rubrum ",5.3,16,1300,2.6,loam,3.9,0.6,3.2,10_30
Fierer2006,lab,CF2,"Catskills, NY USA",41.93,-74.35,800,"Fagus grandifolia, Betula alleghaniensis, Acer saccharum",5.3,16,1300,4.1,sandy loam,3.6,0.6,3.1,10_30
Fierer2006,lab,CF3,"Catskills, NY USA",42.12,-74.1,800,Tsuga canadensis,5.3,16,1300,4.3,silt loam,3.6,0.4,3.5,10_30
Fierer2006,lab,CL1,"Calhoun Experimental Forest, SC USA",34.62,-81.67,150,"Quercus spp., Carya spp., Acer rubrum",15.9,22,1250,2.3,sandy loam,5.7,3,2.6,10_30
Fierer2006,lab,CL2,"Calhoun Experimental Forest, SC USA",34.62,-81.67,150,Bromus spp.,15.9,22,1250,2.3,sandy loam,5.6,1.9,3,10_30
Fierer2006,lab,CL3,"Calhoun Experimental Forest, SC USA",34.62,-81.67,150,Pinus taeda,15.9,22,1250,1.2,loamy sand,4.9,4,2.7,10_30
Fierer2006,lab,CL4,"Calhoun Experimental Forest, SC USA",34.62,-81.67,150,Hordeum sp.,15.9,22,1250,1.7,sandy loam,5,1.6,3,10_30
Fierer2006,lab,CM1,"Clymer Meadow Preserve, TX USA",33.3,-96.23,200,"Andropogon gerardii, Sorghastrum nutans, Schizachyrium scoparium",18.5,25,850,3,silty clay,7.9,1,2.7,10_30
Fierer2006,lab,CO1,"Fort Collins, CO USA",40.4,-105.7,3800,"Geum rossii, Primula spp., Silene acaulis, Poa spp.",-3,8,600,1.6,sand,6.1,5.5,2.6,10_30
Fierer2006,lab,CO2,"Fort Collins, CO USA",40.58,-105.33,2400,Pinus contorta,6.1,10,350,1.8,sandy loam,5.7,6,2.5,10_30
Fierer2006,lab,CO3,"Shortgrass Steppe LTER, CO USA",40.8,-104.83,1500,"Bouteloua gracilis, Buchloe dactyloides, Sphaeralcea coccinea",9.3,14,322,0.8,sandy loam,6,4,3,10_30
Fierer2006,lab,CR1,"Coffey Ranch, TX USA",33.93,-97.23,250,"Schizachyrium scoparium, Andropogon gerardii, Panicum virgatum",18.4,25,850,2.8,loam,8,0.6,4.1,10_30
Fierer2006,lab,DF1,"Duke Forest, NC USA",35.97,-79.08,163,"Pinus taeda, Liquidambar styraciflua, Liriodendron tulipifera, Cornus florida",14.6,18,1100,2.8,sandy loam,5.4,5.5,2.4,10_30
