Year,Sample,Temp_range,moisture,moisture_units,Q10,Species,Latitude,Longitude,Manipulation,Ecosystem_type,Biome,Source,Incubation,notes,StudyName,DOI
,surface peat,,,,4.7,CH4,,,,fen,,Lai2009,,,Valentine1994,https://doi.org/10.1029/93JD00391
,subsurface peat,,,,1.7,CH4,,,,fen,,Lai2009,,,Valentine1994,https://doi.org/10.1029/93JD00391
,KLTS,,,,16,CH4,,,,,,Lai2009,,,Dunfield1993,https://doi.org/10.1016/0038-0717(93)90130-4
,CF,,,,6,CH4,,,,,,Lai2009,,,Dunfield1993,https://doi.org/10.1016/0038-0717(93)90130-4
,F1,,,,5.3,CH4,,,,,,Lai2009,,,Dunfield1993,https://doi.org/10.1016/0038-0717(93)90130-4
,B1,,,,6.3,CH4,,,,,,Lai2009,,,Dunfield1993,https://doi.org/10.1016/0038-0717(93)90130-4
1985,,,,,4.99,CH4,,,,,,Dunfield1993,lab,,Westermann1987,https://doi.org/10.1128/AEM.53.10.2554-2559.1987
1985,0_25,,,,4.06,CH4,,,,,,Dunfield1993,lab,,Westermann1987,https://doi.org/10.1128/AEM.53.10.2554-2559.1987
1985,0_25,,,,5.43,CH4,,,,,,Dunfield1993,lab,,Westermann1987,https://doi.org/10.1128/AEM.53.10.2554-2559.1987
1985,0_25,,,,3.84,CH4,,,,,,Dunfield1993,lab,,Westermann1987,https://doi.org/10.1128/AEM.53.10.2554-2559.1987
1985,0_25,,,,2.89,DN,,,,,,Dunfield1993,lab,,Westermann1987,https://doi.org/10.1128/AEM.53.10.2554-2559.1987
1985,0_25,,,,2.84,DN,,,,,,Dunfield1993,lab,,Westermann1987,https://doi.org/10.1128/AEM.53.10.2554-2559.1987
1985,0_25,,,,2.9,DN,,,,,,Dunfield1993,lab,,Westermann1987,https://doi.org/10.1128/AEM.53.10.2554-2559.1987
1985,0_25,,,,3.02,DN,,,,,,Dunfield1993,lab,,Westermann1987,https://doi.org/10.1128/AEM.53.10.2554-2559.1987
1976,,9_29,,,2.4,CH4,42_17'N,83_40'W,,,,Dunfield1993,lab,,Kelly1981,https://doi.org/10.4319/lo.1981.26.5.0891
,,,,,2,DN,,,,,,Westermann1989,,,Stanford1975,https://doi.org/10.2136/sssaj1975.03615995003900050024x
,,,,,,,,,,,,,,,,
