Year,Sample,Temp_range,moisture,moisture_units,Q10,Species,Latitude,Longitude,Manipulation,Ecosystem_type,Biome,Source,Incubation,notes,StudyName,DOI
,,,,,,,,,,minerotrophic peat,,Segers1998,,"4 Westermann and Ahring (1987),",,https://doi.org/10.1128/aem.53.10.2554-2559.1987
,,,,,,,,,,,,,,,,
,alder,5_15,,,7.5,CH4,,,,minerotrophic peat,,Segers1998,,1day,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,alder,10_20,,,8.5,CH4,,,,minerotrophic peat,,Segers1998,,1day,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,alder,15_35,,,4.1,CH4,,,,minerotrophic peat,,Segers1998,,1day,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,alder,20_30,,,2.7,CH4,,,,minerotrophic peat,,Segers1998,,1day,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,alder,25_35,,,2,CH4,,,,minerotrophic peat,,Segers1998,,1day,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,alder,5_15,,,6.4,CH4,,,,minerotrophic peat,,Segers1998,,2days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,alder,10_20,,,5.5,CH4,,,,minerotrophic peat,,Segers1998,,2days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,alder,15_35,,,3.6,CH4,,,,minerotrophic peat,,Segers1998,,2days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,alder,20_30,,,2.3,CH4,,,,minerotrophic peat,,Segers1998,,2days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,alder,25_35,,,1.9,CH4,,,,minerotrophic peat,,Segers1998,,2days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,alder,5_15,,,1.5,CH4,,,,minerotrophic peat,,Segers1998,,51days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,alder,10_20,,,1.8,CH4,,,,minerotrophic peat,,Segers1998,,51days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,alder,15_35,,,3.1,CH4,,,,minerotrophic peat,,Segers1998,,51days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,alder,20_30,,,2.2,CH4,,,,minerotrophic peat,,Segers1998,,51days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,alder,25_35,,,1.8,CH4,,,,minerotrophic peat,,Segers1998,,51days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,5_15,,,2.6,CH4,,,,minerotrophic peat,,Segers1998,,2days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,10_20,,,2.2,CH4,,,,minerotrophic peat,,Segers1998,,2days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,15_35,,,1.7,CH4,,,,minerotrophic peat,,Segers1998,,2days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,20_30,,,1.5,CH4,,,,minerotrophic peat,,Segers1998,,2days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,25_35,,,1.5,CH4,,,,minerotrophic peat,,Segers1998,,2days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,5_15,,,2.1,CH4,,,,minerotrophic peat,,Segers1998,,6days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,10_20,,,1.7,CH4,,,,minerotrophic peat,,Segers1998,,6days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,15_35,,,1.5,CH4,,,,minerotrophic peat,,Segers1998,,6days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,20_30,,,1.3,CH4,,,,minerotrophic peat,,Segers1998,,6days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,25_35,,,1.3,CH4,,,,minerotrophic peat,,Segers1998,,6days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,5_15,,,1.7,CH4,,,,minerotrophic peat,,Segers1998,,51days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,10_20,,,1.5,CH4,,,,minerotrophic peat,,Segers1998,,51days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,15_35,,,1.4,CH4,,,,minerotrophic peat,,Segers1998,,51days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,20_30,,,1.3,CH4,,,,minerotrophic peat,,Segers1998,,51days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,canal,25_35,,,1.2,CH4,,,,minerotrophic peat,,Segers1998,,51days,Westermann1993,https://doi.org/10.1016/0045-6535(93)90428-8
,,,,,,,,,,,,,,,,
,,,,,,,,,,minerotrophic peat,,Segers1998,,"6 Updegraff et al. (1995),",,
,,,,,,,,,,,,,,,,
,,,,,16,CH4,,,,minerotrophic peat,,Segers1998,,"15 Dunfield et al. (1993),",Dunfield1993,https://doi.org/10.1016/0038-0717(93)90130-4
,,,,,6,CH4,,,,minerotrophic peat,,Segers1998,,"15 Dunfield et al. (1993),",Dunfield1993,https://doi.org/10.1016/0038-0717(93)90130-4
,,,,,5.3,CH4,,,,minerotrophic peat,,Segers1998,,"15 Dunfield et al. (1993),",Dunfield1993,https://doi.org/10.1016/0038-0717(93)90130-4
,,,,,6.3,CH4,,,,minerotrophic peat,,Segers1998,,"15 Dunfield et al. (1993),",Dunfield1993,https://doi.org/10.1016/0038-0717(93)90130-4
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,minerotrophic peat,,Segers1998,,"19 Williams and Crawford (1984),",,https://doi.org/10.1128/aem.47.6.1266-1271.1984 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
