"Q10_study_ID","SRDB_study_ID","Source","StudyName","DOI"
41,"SRDB-2331","SRDB","SRDB-2331",
42,"SRDB-2349","SRDB","SRDB-2349",
43,"SRDB-2352","SRDB","SRDB-2352",
44,"SRDB-2354","SRDB","SRDB-2354",
45,"SRDB-2355","SRDB","SRDB-2355",
46,"SRDB-2369","SRDB","SRDB-2369",
47,"SRDB-2372","SRDB","SRDB-2372",
48,"SRDB-2373","SRDB","SRDB-2373",
49,"SRDB-2387","SRDB","SRDB-2387",
50,"SRDB-2396","SRDB","SRDB-2396",
51,"SRDB-2412","SRDB","SRDB-2412",
52,"SRDB-2413","SRDB","SRDB-2413",
53,"SRDB-2427","SRDB","SRDB-2427",
54,"SRDB-2437","SRDB","SRDB-2437",
55,"SRDB-2451","SRDB","SRDB-2451",
56,"SRDB-2459","SRDB","SRDB-2459",
57,,"Smith2011","Borken2003","https://doi.org/10.2136/sssaj2003.1888"
58,"SRDB-2464","SRDB","SRDB-2464",
59,"SRDB-2479","SRDB","SRDB-2479",
60,"SRDB-2501","SRDB","SRDB-2501",
61,"SRDB-2503","SRDB","SRDB-2503",
62,"SRDB-2506","SRDB","SRDB-2506",
63,"SRDB-2513","SRDB","SRDB-2513",
64,"SRDB-2532","SRDB","SRDB-2532",
65,"SRDB-2534","SRDB","SRDB-2534",
66,,"Brumme1995","Brumme1995","https://doi.org/10.1007/BF00029373"
67,"SRDB-2537","SRDB","SRDB-2537",
68,"SRDB-2546","SRDB","SRDB-2546",
69,"SRDB-2560","SRDB","SRDB-2560",
70,"SRDB-2563","SRDB","SRDB-2563",
71,"SRDB-2583","SRDB","SRDB-2583",
72,"SRDB-2584","SRDB","SRDB-2584",
73,"SRDB-2585","SRDB","SRDB-2585",
74,"SRDB-2613","SRDB","SRDB-2613",
75,"SRDB-2630","SRDB","SRDB-2630",
76,"SRDB-2656","SRDB","SRDB-2656",
77,"SRDB-10460","SRDB","SRDB-10460",
78,"SRDB-267","SRDB","SRDB-267",
79,"SRDB-2672","SRDB","SRDB-2672",
80,"SRDB-2680","SRDB","SRDB-2680",
81,"SRDB-2696","SRDB","SRDB-2696",
82,"SRDB-2722","SRDB","SRDB-2722",
83,"SRDB-2746","SRDB","SRDB-2746",
84,"SRDB-2771","SRDB","SRDB-2771",
85,"SRDB-2820","SRDB","SRDB-2820",
86,"SRDB-2831","SRDB","SRDB-2831",
87,"SRDB-2833","SRDB","SRDB-2833",
88,"SRDB-10464","SRDB","SRDB-10464",
89,"SRDB-2842","SRDB","SRDB-2842",
90,"SRDB-2844","SRDB","SRDB-2844",
91,"SRDB-2877","SRDB","SRDB-2877",
92,"SRDB-2879","SRDB","SRDB-2879",
93,"SRDB-2893","SRDB","SRDB-2893",
94,"SRDB-2915","SRDB","SRDB-2915",
95,"SRDB-2926","SRDB","SRDB-2926",
96,"SRDB-2940","SRDB","SRDB-2940",
97,"SRDB-2952","SRDB","SRDB-2952",
98,"SRDB-2976","SRDB","SRDB-2976",
99,"SRDB-2980","SRDB","SRDB-2980",
100,"SRDB-2981","SRDB","SRDB-2981",
101,"SRDB-3029","SRDB","SRDB-3029",
102,"SRDB-10465","SRDB","SRDB-10465",
103,"SRDB-3030","SRDB","SRDB-3030",
104,"SRDB-3052","SRDB","SRDB-3052",
105,"SRDB-3083","SRDB","SRDB-3083",
106,"SRDB-3115","SRDB","SRDB-3115",
107,"SRDB-10467","SRDB","SRDB-10467",
108,"SRDB-10472","SRDB","SRDB-10472",
109,"SRDB-312","SRDB","SRDB-312",
110,"SRDB-3130","SRDB","SRDB-3130",
111,"SRDB-3131","SRDB","SRDB-3131",
112,"SRDB-3138","SRDB","SRDB-3138",
113,"SRDB-3139","SRDB","SRDB-3139",
114,"SRDB-3148","SRDB","SRDB-3148",
115,"SRDB-3156","SRDB","SRDB-3156",
116,"SRDB-316","SRDB","SRDB-316",
117,"SRDB-3179","SRDB","SRDB-3179",
118,"SRDB-3190","SRDB","SRDB-3190",
119,"SRDB-3211","SRDB","SRDB-3211",
120,"SRDB-3212","SRDB","SRDB-3212",
121,"SRDB-3222","SRDB","SRDB-3222",
122,"SRDB-3263","SRDB","SRDB-3263",
123,"SRDB-3273","SRDB","SRDB-3273",
124,"SRDB-3302","SRDB","SRDB-3302",
125,"SRDB-10487","SRDB","SRDB-10487",
126,"SRDB-3307","SRDB","SRDB-3307",
127,"SRDB-10489","SRDB","SRDB-10489",
128,"SRDB-3315","SRDB","SRDB-3315",
129,"SRDB-3320","SRDB","SRDB-3320",
130,"SRDB-3324","SRDB","SRDB-3324",
131,"SRDB-3326","SRDB","SRDB-3326",
132,"SRDB-3333","SRDB","SRDB-3333",
133,"SRDB-3343","SRDB","SRDB-3343",
134,"SRDB-3344","SRDB","SRDB-3344",
135,"SRDB-3368","SRDB","SRDB-3368",
136,"SRDB-3386","SRDB","SRDB-3386",
137,"SRDB-3394","SRDB","SRDB-3394",
138,"SRDB-3399","SRDB","SRDB-3399",
139,"SRDB-3413","SRDB","SRDB-3413",
140,"SRDB-3415","SRDB","SRDB-3415",
141,"SRDB-3420","SRDB","SRDB-3420",
142,"SRDB-3429","SRDB","SRDB-3429",
143,"SRDB-3445","SRDB","SRDB-3445",
144,"SRDB-3494","SRDB","SRDB-3494",
145,"SRDB-3509","SRDB","SRDB-3509",
146,"SRDB-352","SRDB","SRDB-352",
147,"SRDB-3561","SRDB","SRDB-3561",
148,"SRDB-3600","SRDB","SRDB-3600",
149,"SRDB-3618","SRDB","SRDB-3618",
150,"SRDB-3619","SRDB","SRDB-3619",
151,"SRDB-10510","SRDB","SRDB-10510",
152,"SRDB-3644","SRDB","SRDB-3644",
153,"SRDB-3647","SRDB","SRDB-3647",
154,"SRDB-3649","SRDB","SRDB-3649",
155,"SRDB-3650","SRDB","SRDB-3650",
156,"SRDB-3653","SRDB","SRDB-3653",
157,"SRDB-3656","SRDB","SRDB-3656",
158,"SRDB-3665","SRDB","SRDB-3665",
159,"SRDB-3669","SRDB","SRDB-3669",
160,"SRDB-3675","SRDB","SRDB-3675",
161,"SRDB-3676","SRDB","SRDB-3676",
162,"SRDB-3683","SRDB","SRDB-3683",
163,"SRDB-3700","SRDB","SRDB-3700",
164,"SRDB-3710","SRDB","SRDB-3710",
165,"SRDB-3733","SRDB","SRDB-3733",
166,"SRDB-3795","SRDB","SRDB-3795",
167,"SRDB-3801","SRDB","SRDB-3801",
168,"SRDB-1078","SRDB","SRDB-1078",
169,"SRDB-3845","SRDB","SRDB-3845",
170,"SRDB-109","SRDB","SRDB-109",
171,"SRDB-1093","SRDB","SRDB-1093",
172,"SRDB-3861","SRDB","SRDB-3861",
173,"SRDB-3872","SRDB","SRDB-3872",
174,"SRDB-3873","SRDB","SRDB-3873",
175,"SRDB-3885","SRDB","SRDB-3885",
176,"SRDB-3886","SRDB","SRDB-3886",
177,"SRDB-3888","SRDB","SRDB-3888",
178,"SRDB-3889","SRDB","SRDB-3889",
179,"SRDB-1099","SRDB","SRDB-1099",
180,"SRDB-3893","SRDB","SRDB-3893",
181,"SRDB-3907","SRDB","SRDB-3907",
182,"SRDB-1116","SRDB","SRDB-1116",
183,"SRDB-3916","SRDB","SRDB-3916",
184,"SRDB-3927","SRDB","SRDB-3927",
185,"SRDB-395","SRDB","SRDB-395",
186,"SRDB-3976","SRDB","SRDB-3976",
187,"SRDB-3978","SRDB","SRDB-3978",
188,"SRDB-4003","SRDB","SRDB-4003",
189,"SRDB-4013","SRDB","SRDB-4013",
190,"SRDB-4016","SRDB","SRDB-4016",
191,"SRDB-402","SRDB","SRDB-402",
192,"SRDB-4035","SRDB","SRDB-4035",
193,"SRDB-4039","SRDB","SRDB-4039",
194,"SRDB-4040","SRDB","SRDB-4040",
195,"SRDB-4045","SRDB","SRDB-4045",
196,"SRDB-408","SRDB","SRDB-408",
197,"SRDB-4122","SRDB","SRDB-4122",
198,"SRDB-4128","SRDB","SRDB-4128",
199,"SRDB-4131","SRDB","SRDB-4131",
200,"SRDB-4132","SRDB","SRDB-4132",
201,"SRDB-4136","SRDB","SRDB-4136",
202,"SRDB-4151","SRDB","SRDB-4151",
203,"SRDB-4155","SRDB","SRDB-4155",
204,"SRDB-4159","SRDB","SRDB-4159",
205,"SRDB-4166","SRDB","SRDB-4166",
206,"SRDB-4170","SRDB","SRDB-4170",
207,"SRDB-4172","SRDB","SRDB-4172",
208,"SRDB-4174","SRDB","SRDB-4174",
209,"SRDB-4182","SRDB","SRDB-4182",
210,"SRDB-421","SRDB","SRDB-421",
211,"SRDB-4212","SRDB","SRDB-4212",
212,"SRDB-4215","SRDB","SRDB-4215",
213,"SRDB-4217","SRDB","SRDB-4217",
214,"SRDB-4237","SRDB","SRDB-4237",
215,"SRDB-4244","SRDB","SRDB-4244",
216,"SRDB-4246","SRDB","SRDB-4246",
217,"SRDB-4286","SRDB","SRDB-4286",
218,"SRDB-4303","SRDB","SRDB-4303",
219,"SRDB-4352","SRDB","SRDB-4352",
220,"SRDB-4375","SRDB","SRDB-4375",
221,"SRDB-4383","SRDB","SRDB-4383",
222,"SRDB-4392","SRDB","SRDB-4392",
223,"SRDB-4410","SRDB","SRDB-4410",
224,"SRDB-4414","SRDB","SRDB-4414",
225,"SRDB-4426","SRDB","SRDB-4426",
226,"SRDB-4459","SRDB","SRDB-4459",
227,"SRDB-4465","SRDB","SRDB-4465",
228,"SRDB-4472","SRDB","SRDB-4472",
229,"SRDB-451","SRDB","SRDB-451",
230,"SRDB-4530","SRDB","SRDB-4530",
231,"SRDB-4562","SRDB","SRDB-4562",
232,"SRDB-4564","SRDB","SRDB-4564",
233,"SRDB-4584","SRDB","SRDB-4584",
234,"SRDB-4587","SRDB","SRDB-4587",
235,"SRDB-4605","SRDB","SRDB-4605",
236,"SRDB-4609","SRDB","SRDB-4609",
237,"SRDB-4614","SRDB","SRDB-4614",
238,"SRDB-4616","SRDB","SRDB-4616",
239,"SRDB-4630","SRDB","SRDB-4630",
240,"SRDB-4634","SRDB","SRDB-4634",
241,"SRDB-4689","SRDB","SRDB-4689",
242,"SRDB-4730","SRDB","SRDB-4730",
243,"SRDB-4750","SRDB","SRDB-4750",
244,"SRDB-4756","SRDB","SRDB-4756",
245,"SRDB-4768","SRDB","SRDB-4768",
246,"SRDB-4773","SRDB","SRDB-4773",
247,"SRDB-4775","SRDB","SRDB-4775",
248,,"Borken2003","Davidson1998","https://doi.org/10.1046/j.1365-2486.1998.00128.x"
249,"SRDB-4825","SRDB","SRDB-4825",
250,"SRDB-4853","SRDB","SRDB-4853",
251,"SRDB-4873","SRDB","SRDB-4873",
252,"SRDB-488","SRDB","SRDB-488",
253,"SRDB-4883","SRDB","SRDB-4883",
254,"SRDB-4905","SRDB","SRDB-4905",
255,"SRDB-4908","SRDB","SRDB-4908",
256,"SRDB-4910","SRDB","SRDB-4910",
257,"SRDB-4915","SRDB","SRDB-4915",
258,"SRDB-4927","SRDB","SRDB-4927",
259,"SRDB-4934","SRDB","SRDB-4934",
260,"SRDB-4936","SRDB","SRDB-4936",
261,"SRDB-4938","SRDB","SRDB-4938",
262,"SRDB-4955","SRDB","SRDB-4955",
263,"SRDB-5042","SRDB","SRDB-5042",
264,"SRDB-5063","SRDB","SRDB-5063",
265,"SRDB-1118","SRDB","SRDB-1118",
266,"SRDB-5077","SRDB","SRDB-5077",
267,"SRDB-510","SRDB","SRDB-510",
268,"SRDB-5109","SRDB","SRDB-5109",
269,"SRDB-5113","SRDB","SRDB-5113",
270,"SRDB-5114","SRDB","SRDB-5114",
271,"SRDB-5123","SRDB","SRDB-5123",
272,"SRDB-5125","SRDB","SRDB-5125",
273,"SRDB-5138","SRDB","SRDB-5138",
274,"SRDB-5162","SRDB","SRDB-5162",
275,"SRDB-5165","SRDB","SRDB-5165",
276,"SRDB-5178","SRDB","SRDB-5178",
277,"SRDB-5184","SRDB","SRDB-5184",
278,"SRDB-5216","SRDB","SRDB-5216",
279,"SRDB-5227","SRDB","SRDB-5227",
280,"SRDB-5247","SRDB","SRDB-5247",
281,"SRDB-5259","SRDB","SRDB-5259",
282,,"Gebremichael2017","Gebremichael2017","https://doi.org/10.5194/bg-14-2611-2017"
283,"SRDB-5272","SRDB","SRDB-5272",
284,"SRDB-5273","SRDB","SRDB-5273",
285,"SRDB-5278","SRDB","SRDB-5278",
286,"SRDB-5290","SRDB","SRDB-5290",
287,"SRDB-5294","SRDB","SRDB-5294",
288,"SRDB-5303","SRDB","SRDB-5303",
289,"SRDB-5305","SRDB","SRDB-5305",
290,"SRDB-5307","SRDB","SRDB-5307",
291,"SRDB-5317","SRDB","SRDB-5317",
292,"SRDB-5325","SRDB","SRDB-5325",
293,"SRDB-5326","SRDB","SRDB-5326",
294,"SRDB-5327","SRDB","SRDB-5327",
295,"SRDB-5345","SRDB","SRDB-5345",
296,"SRDB-5385","SRDB","SRDB-5385",
297,,"Smith2011","Ginting2003","https://doi.org/10.2134/jeq2003.2300"
298,"SRDB-5403","SRDB","SRDB-5403",
299,"SRDB-5427","SRDB","SRDB-5427",
300,"SRDB-5436","SRDB","SRDB-5436",
301,"SRDB-5441","SRDB","SRDB-5441",
302,"SRDB-5443","SRDB","SRDB-5443",
303,"SRDB-5458","SRDB","SRDB-5458",
304,"SRDB-5467","SRDB","SRDB-5467",
305,"SRDB-5470","SRDB","SRDB-5470",
306,,"Gulledge2000","Gulledge2000","https://doi.org/10.1007/s100210000025"
307,"SRDB-5512","SRDB","SRDB-5512",
308,"SRDB-5520","SRDB","SRDB-5520",
309,"SRDB-5521","SRDB","SRDB-5521",
310,"SRDB-5522","SRDB","SRDB-5522",
311,"SRDB-5524","SRDB","SRDB-5524",
312,"SRDB-5526","SRDB","SRDB-5526",
313,"SRDB-5538","SRDB","SRDB-5538",
314,"SRDB-5587","SRDB","SRDB-5587",
315,"SRDB-5591","SRDB","SRDB-5591",
316,"SRDB-5594","SRDB","SRDB-5594",
317,"SRDB-560","SRDB","SRDB-560",
318,"SRDB-5640","SRDB","SRDB-5640",
