"Q10_study_ID","SRDB_study_ID","Source","StudyName","DOI"
444,"SRDB-7573","SRDB","SRDB-7573",
445,"SRDB-7574","SRDB","SRDB-7574",
446,"SRDB-7582","SRDB","SRDB-7582",
447,"SRDB-7587","SRDB","SRDB-7587",
448,,"Kim2003","Kim2003","https://doi.org/10.1029/2001JD000663"
449,"SRDB-11806","SRDB","SRDB-11806",
450,"SRDB-11821","SRDB","SRDB-11821",
451,"SRDB-11827","SRDB","SRDB-11827",
452,"SRDB-11855","SRDB","SRDB-11855",
453,"SRDB-7588","SRDB","SRDB-7588",
454,"SRDB-11874","SRDB","SRDB-11874",
455,"SRDB-7596","SRDB","SRDB-7596",
456,"SRDB-761","SRDB","SRDB-761",
457,"SRDB-7630","SRDB","SRDB-7630",
458,"SRDB-7631","SRDB","SRDB-7631",
459,"SRDB-7632","SRDB","SRDB-7632",
460,"SRDB-11903","SRDB","SRDB-11903",
461,"SRDB-1191","SRDB","SRDB-1191",
462,"SRDB-7659","SRDB","SRDB-7659",
463,"SRDB-7675","SRDB","SRDB-7675",
464,"SRDB-7678","SRDB","SRDB-7678",
465,"SRDB-7695","SRDB","SRDB-7695",
466,"SRDB-7698","SRDB","SRDB-7698",
467,"SRDB-11914","SRDB","SRDB-11914",
468,"SRDB-77","SRDB","SRDB-77",
469,"SRDB-7702","SRDB","SRDB-7702",
470,"SRDB-7703","SRDB","SRDB-7703",
471,"SRDB-7704","SRDB","SRDB-7704",
472,"SRDB-7714","SRDB","SRDB-7714",
473,"SRDB-7721","SRDB","SRDB-7721",
474,"SRDB-7727","SRDB","SRDB-7727",
475,"SRDB-7788","SRDB","SRDB-7788",
476,"SRDB-779","SRDB","SRDB-779",
477,"SRDB-7868","SRDB","SRDB-7868",
478,"SRDB-7904","SRDB","SRDB-7904",
479,"SRDB-792","SRDB","SRDB-792",
480,"SRDB-7958","SRDB","SRDB-7958",
481,"SRDB-11915","SRDB","SRDB-11915",
482,"SRDB-7981","SRDB","SRDB-7981",
483,"SRDB-11918","SRDB","SRDB-11918",
484,"SRDB-11933","SRDB","SRDB-11933",
485,"SRDB-7991","SRDB","SRDB-7991",
486,"SRDB-8007","SRDB","SRDB-8007",
487,"SRDB-11938","SRDB","SRDB-11938",
488,"SRDB-8012","SRDB","SRDB-8012",
489,"SRDB-11939","SRDB","SRDB-11939",
490,"SRDB-8031","SRDB","SRDB-8031",
491,"SRDB-8041","SRDB","SRDB-8041",
492,"SRDB-8042","SRDB","SRDB-8042",
493,"SRDB-8049","SRDB","SRDB-8049",
494,"SRDB-805","SRDB","SRDB-805",
495,"SRDB-8079","SRDB","SRDB-8079",
496,"SRDB-1194","SRDB","SRDB-1194",
497,"SRDB-8117","SRDB","SRDB-8117",
498,"SRDB-8143","SRDB","SRDB-8143",
499,"SRDB-8163","SRDB","SRDB-8163",
500,"SRDB-8186","SRDB","SRDB-8186",
501,"SRDB-8289","SRDB","SRDB-8289",
502,"SRDB-8307","SRDB","SRDB-8307",
503,"SRDB-11941","SRDB","SRDB-11941",
504,"SRDB-8334","SRDB","SRDB-8334",
505,"SRDB-8383","SRDB","SRDB-8383",
506,"SRDB-8384","SRDB","SRDB-8384",
507,"SRDB-8464","SRDB","SRDB-8464",
508,"SRDB-11944","SRDB","SRDB-11944",
509,"SRDB-8542","SRDB","SRDB-8542",
510,"SRDB-8569","SRDB","SRDB-8569",
511,"SRDB-8602","SRDB","SRDB-8602",
512,"SRDB-864","SRDB","SRDB-864",
513,"SRDB-874","SRDB","SRDB-874",
514,"SRDB-11945","SRDB","SRDB-11945",
515,"SRDB-886","SRDB","SRDB-886",
516,"SRDB-8866","SRDB","SRDB-8866",
517,"SRDB-8887","SRDB","SRDB-8887",
518,"SRDB-90","SRDB","SRDB-90",
519,"SRDB-11949","SRDB","SRDB-11949",
520,"SRDB-900","SRDB","SRDB-900",
521,"SRDB-9081","SRDB","SRDB-9081",
522,"SRDB-9177","SRDB","SRDB-9177",
523,"SRDB-9272","SRDB","SRDB-9272",
524,"SRDB-9297","SRDB","SRDB-9297",
525,"SRDB-9501","SRDB","SRDB-9501",
526,"SRDB-951","SRDB","SRDB-951",
527,"SRDB-11951","SRDB","SRDB-11951",
528,"SRDB-9563","SRDB","SRDB-9563",
529,"SRDB-9670","SRDB","SRDB-9670",
530,"SRDB-9777","SRDB","SRDB-9777",
531,"SRDB-983","SRDB","SRDB-983",
532,"SRDB-1202","SRDB","SRDB-1202",
533,"SRDB-9835","SRDB","SRDB-9835",
534,"SRDB-986","SRDB","SRDB-986",
535,"SRDB-9987","SRDB","SRDB-9987",
536,"SRDB-9989","SRDB","SRDB-9989",
537,,"Yamulki2021","Takakai2008","https://doi.org/10.1111/j.1747-0765.2008.00309.x"
538,,"Wu2010","Wu2010","https://doi.org/10.1029/2009GB003616"
539,,"Wu2019","Wu2019","https://doi.org/10.3390/ijerph16162999"
540,,"Yamulki2021","Yamulki2021","https://doi.org/10.5194/bg-18-4227-2021"
541,,"Zhang2021","Zhang2021","https://doi.org/10.1186/s40663-021-00285-0"
542,,"Zhou2019","Zhou2019","https://doi.org/10.1016/j.catena.2018.09.048"
543,,"Bridgham1991","Bridgham1991","https://doi.org/10.1016/0038-0717(92)90058-6"
544,,"Lupascu2018","Bridgham1992","Bridgham1991"
545,,"Castaldi2000","Castaldi2000","https://doi.org/10.1007/s003740000218"
546,,"Chari2021","Chari2021","https://doi.org/10.1016/j.soilbio.2021.108235"
547,,"Song2021","Dutta2006","https://doi.org/10.1111/j.1365-2486.2006.01259.x"
548,,"Lupascu2018","Duttta2006","https://doi.org/10.1111/j.1365-2486.2006.01259.x"
549,,"Kesik2006","Fang2001","https://doi.org/10.1016/S0038-0717(00)00125-5"
550,,"Hoang2018","Hoang2018","https://doi.org/10.1080/00103624.2018.1435796"
551,,"Hoang2018","Hoang2018","https://doi.org/10.3107/jesss.8.22"
552,,"Koponen2006","Koponen2006","https://doi.org/10.1016/j.soilbio.2005.12.004"
553,,"Parkin2006","Maag1999","https://doi.org/10.2136/sssaj1999.634858x"
553,,"Abdalla2009","Maag1999","https://doi.org/10.2136/sssaj1999.634858x"
554,,"McKenzie1998","McKenzie1998","https://doi.org/10.1023/A:1005416903368"
555,,"Phillips2012","Phillips2012","https://doi.org/10.1016/j.soilbio.2011.09.012"
556,,"Phillips2014","Phillips2014","https://doi.org/10.1080/00288233.2014.969380"
557,,"Bagherzadeh2008","Reichstein2000","https://doi.org/10.1016/S0038-0717(00)00002-X"
558,,"RoyChowdhury2014","RoyChowdhury2014","https://doi.org/10.1111/gcb.12762"
559,,"Sihi2016","Sihi2016","https://doi.org/10.1007/s10533-016-0267-8"
559,,"Zhu2021","Sihi2016","https://doi.org/10.1007/s10533-016-0267-8"
560,,"Song2021","Song2021","https://doi.org/10.1002/ep.13693"
561,,"Bagherzadeh2008","Winkler1996","https://doi.org/10.1016/0038-0717(96)00076-4"
562,,"Bagherzadeh2008","Kaetterer1998","https://doi.org/10.1007/s003740050430"
563,,"Zhang2021","Wang2011","https://doi.org/10.13287/j.1001-9332.2011.0166"
564,,"Akiyama2002","Akiyama2002","https://doi.org/10.1023/A:1021102925159"
565,,"Smith1997","Blackmer1982","https://doi.org/10.2136/sssaj1982.03615995004600050011x"
566,,"Smith1997","Denmead1979","https://doi.org/10.2136/sssaj1979.03615995004300040020x"
567,,"Ding2006","Ding2006","https://doi.org/10.1016/j.scitotenv.2006.12.026"
568,,"Dobbie1999","Dobbie1999","https://doi.org/10.1029/1999JD900378"
568,,"Akiyama2002","Dobbie1999","https://doi.org/10.1029/1999JD900378"
569,,"Ellis1998","Ellis1998","https://doi.org/10.1023/A:1004332209345"
570,,"Ding2006","Flessa2002","https://doi.org/10.1016/S0016-7061(01)00110-0"
571,,"Griffis2017","Griffis2017","https://doi.org/10.1073/pnas.1704552114"
572,,"Ni2012","Ni2012","https://doi.org/10.1007/s00374-012-0709-y"
573,,"Smith2011","Parkin2006","https://doi.org/10.2134/jeq2005.0183"
574,,"Qu2020","Qu2020","https://doi.org/10.1016/j.scitotenv.2020.144277"
575,,"Smith2011","Smith2011","https://doi.org/10.2136/sssaj2009.0354"
576,,"Song2009","Song2009","https://doi.org/10.1080/09064710802022945"
577,,"XuRi2018","XuRi2018","https://doi.org/10.1007/s11104-018-3856-6"
578,,"Yingfang2018","Yingfang2018","https://doi.org/10.15244/pjoes/76795"
579,,"Zhou2016","Zhou2016","https://doi.org/10.1038/srep28230"
579,,"Zhou2018","Zhou2016","https://doi.org/10.1038/srep28230"
580,,"Chatterjee2020","Chatterjee2020","https://doi.org/10.4236/ojss.2020.107016"
581,,"Ding2019","Ding2019","https://doi.org/10.1016/j.scitotenv.2018.08.428"
582,,"Grant2008","Dobbie2001","https://doi.org/10.1046/j.1365-2389.2001.00395.x"
582,,"Kurganova2010","Dobbie2001","https://doi.org/10.1046/j.1365-2389.2001.00395.x"
583,,"Eickenscheidt2014","Eickenscheidt2014","https://doi.org/10.5194/bg-11-2961-2014"
584,,"Denmead1979","Freney1978",
585,,"Kesik2006","Goodroad1984","https://doi.org/10.1016/0038-0717(84)90123-8"
586,,"Kurganova2010","Kurganova2010","https://doi.org/10.1134/S1064229310080090"
587,"SRDB-1207","SRDB","SRDB-1207",
588,,"Mu2018","Mu2018","https://doi.org/10.1038/s41598-018-22530-3"
589,,"Myrstener2016","Myrstener2016","https://doi.org/10.1016/j.jes.2016.03.003"
590,,"Philips2015","Philips2015","https://doi.org/10.1080/00288233.2014.969380"
591,,"Siciliano2009","Siciliano2009","https://doi.org/10.1016/j.soilbio.2009.02.024"
592,,"Tan2020","Tan2020","https://doi.org/10.1038/s41558-020-0723-2"
593,,"Venterea2007","Venterea2007","https://doi.org/10.1111/j.1365-2486.2007.01389.x"
594,,"Vicca2009","Vicca2009","https://doi.org/10.1111/j.1472-4669.2009.00205.x"
595,,"Xing2021","Xing2021","https://doi.org/10.1128/AEM.02965-20"
596,"SRDB-1216","SRDB","SRDB-1216",
597,,"Yang2007","Yang2007","https://doi.org/10.1007/s11703-007-0006-y"
598,,"Hosono2006","Hosono2006","https://doi.org/10.1007/s10705-006-9016-z"
599,,"vanderWeerden1999","Muller1995",
600,,"Kim2003","Born1990","https://doi.org/10.1034/j.1600-0889.1990.00002.x"
601,,"ButterbachBahl2002","ButterbachBahl2002","https://doi.org/10.1023/A:1015856617553"
602,,"Gedney2004","Christensen2003","https://doi.org/10.1029/2002GL016848"
603,,"Kim2003","Crill1991","https://doi.org/10.1029/91GB02466"
604,,"Zhu2021","Delsontro2010","https://doi.org/10.1021/es9031369"
605,,"Lupascu2018","Frenzel2000","https://doi.org/10.1023/A:1006351118347"
606,,"Zhu2021","He2014","https://doi.org/10.1007/s40333-014-0070-0"
607,,"Rinne2018","Jackowicz-Korczyński2010","https://doi.org/doi:10.1029/2008JG000913"
608,,"Kankaala2004","Kankaala2004","https://doi.org/10.1023/B:BIOG.0000015277.17288.7a"
609,,"Khalil1991","Khalil1991","https://doi.org/10.1021/es00017a023"
610,,"Gedney2004","Khalil1998","https://doi.org/10.1029/98JD01115"
611,,"Rinne2018","Kim1998","https://doi.org/10.1046/j.1365-2486.1999.00237.x"
612,,"Zhu2021","Liu2020","https://doi.org/10.1111/gcb.15247"
613,,"Rinne2018","Marushchak2016","https://doi.org/10.5194/bg-13-597-2016"
614,,"Rinne2018","Mikhaylov2015","https://doi.org/10.1134/S1995425515030099"
615,,"Frenzel2000","Nedwell1995","https://doi.org/10.1016/0038-0717(95)00018-A"
616,,"Lupascu2018","Pelletier2007","https://doi.org/10.1029/2006JG000216"
617,,"Zhu2021","Peng2019","https://doi.org/10.1016/j.agrformet.2019.107616"
618,,"Rinne2018","Rinne2018","https://doi.org/10.1029/2017GB005747"
619,"SRDB-1262","SRDB","SRDB-1262",
620,,"vanderWeerden1999","Roslev1997","https://doi.org/10.1128/aem.63.3.874-880.1997"
621,,"Khalil1998","Sass1991","https://doi.org/10.1029/91GB02586"
622,,"Khalil1998","Schutz1990","https://doi.org/10.1007/BF00002060"
623,,"Khalil1998","Seiler1984",
624,,"Zhu2021","Song2015","https://doi.org/10.1002/2015JG003043"
625,,"Wang2009","Wang2009","https://doi.org/10.1029/2008JG000857"
626,,"Zhu2021","Wickland2001","https://doi.org/10.1029/2000GB001325"
627,,"Lupascu2018","Worthy2000","https://doi.org/10.1029/1999JD901100"
628,,"Xu-Ri2015","Xu-Ri2015","https://doi.org/10.1002/2015JG002974"
629,,"Khalil1998","Yao1995","https://doi.org/10.1029/94JD01154"
630,,"Zhu2021","Zhu2021","https://doi.org/10.1111/gcb.15454"
631,,"Lupascu2018","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
632,"SRDB-1271","SRDB","SRDB-1271",
633,,"Lupascu2018","Bergman2000","https://doi.org/10.1111/j.1574-6941.2000.tb00740.x"
634,,"Lai2009","Dunfield1993","https://doi.org/10.1016/0038-0717(93)90130-4"
635,,"Segers1998","Dunfield1993","Dunfield1993"
636,,"Fey2000","Fey2000","https://doi.org/10.1128/AEM.66.11.4790-4797.2000"
637,,"Dunfield1993","Kelly1981","https://doi.org/10.4319/lo.1981.26.5.0891"
637,,"Cao1996","Kelly1981","https://doi.org/10.4319/lo.1981.26.5.0891"
638,,"Chari2021","Lupascu2018","https://doi.org/10.1657/1938-4246-44.4.469"
638,,"Lupascu2018","Lupascu2018","https://doi.org/10.1657/1938-4246-44.4.469"
639,"SRDB-1292","SRDB","SRDB-1292",
640,,"McNicol2019","McNicol2019","https://doi.org/10.1111/gcb.14916"
641,,"Lupascu2018","Prieme1994","https://doi.org/10.1016/0038-0717(94)90190-2"
642,,"Lai2009","Valentine1994","https://doi.org/10.1029/93JD00391"
642,,"Valentine1994","Valentine1994","https://doi.org/10.1029/93JD00391"
643,,"Dunfield1993","Westermann1987","https://doi.org/10.1128/AEM.53.10.2554-2559.1987"
644,,"Segers1998","Westermann1993","https://doi.org/10.1016/0045-6535(93)90428-8"
645,,"Xu2009","Xu2009","https://doi.org/10.1007/s11434-009-0005-x"
646,,"Xu2016","Xu2015","https://doi.org/10.1002/2015JG002935"
647,,"Zheng2018","Zheng2018","https://doi.org/10.5194/bg-15-6621-2018"
648,,"Xu2016","Christensen1995","https://doi.org/10.3402/tellusb.v47i3.16049"
649,,"Sasai2017","Fumoto2008","https://doi.org/10.1111/j.1365-2486.2009.02050.x"
650,,"Xu2016","Huang1998b","https://doi.org/10.1046/j.1365-2486.1998.00129.x"
651,,"Xu2016","Kettunen2003","https://doi.org/10.1029/2002GB001958"
652,,"Xu2016","Riley2011","https://doi.org/10.5194/bg-8-1925-2011"
653,,"Xu2016","Ringeval2010","https://doi.org/10.1029/2008GB003354"
654,,"Xu2016","Tian2010","https://doi.org/10.5194/bg-7-2673-2010"
655,,"Walter2000","Walter2000","https://doi.org/10.1029/1999GB001204"
655,,"Xu2016","Walter2000","https://doi.org/10.1029/1999GB001204"
656,,"Ginting2003","Lessard1994","https://doi.org/10.4141/cjss94-021"
657,,"Zhu2014","Walter2001","https://doi.org/10.1029/2001JD900165"
658,,"Xu2016","Zhu2014","https://doi.org/10.5194/gmd-7-981-2014"
659,,"Xu2016","Zhuang2004","https://doi.org/10.1029/2004GB002239"
660,,"SIDb","Andrews2000SBB",
661,,"SIDb","Arevalo2012",
662,,"SIDb","BradleyCook2016",
663,,"SIDb","Conant2008",
664,,"SIDb","Crow2019b",
665,,"SIDb","Gillabel2010",
666,,"SIDb","Haddix2011",
667,,"SIDb","Karhu2010",
668,,"SIDb","Lavoie2011JGR",
669,,"SIDb","NeffHooper2002",
670,,"SIDb","Niklinska1999",
671,,"SIDb","Sierra2017BG",
672,,"SIDb","Song2010",
673,,"SIDb","Townsend1997",
674,,"SIDb","Wang2010",
675,,"SIDb","Winkler1996",
676,,"Li2019","Li2019","https://doi.org/10.3390/f10090808"
677,"SRDB-1302","SRDB","SRDB-1302",
678,"SRDB-1338","SRDB","SRDB-1338",
679,"SRDB-1380","SRDB","SRDB-1380",
680,"SRDB-1382","SRDB","SRDB-1382",
681,"SRDB-1384","SRDB","SRDB-1384",
682,"SRDB-1397","SRDB","SRDB-1397",
683,"SRDB-1405","SRDB","SRDB-1405",
684,"SRDB-142","SRDB","SRDB-142",
685,"SRDB-1421","SRDB","SRDB-1421",
686,"SRDB-143","SRDB","SRDB-143",
687,"SRDB-1437","SRDB","SRDB-1437",
688,"SRDB-1438","SRDB","SRDB-1438",
689,"SRDB-1469","SRDB","SRDB-1469",
690,,"Zhang2021","Song2014","https://doi.org/10.1016/j.atmosenv.2014.05.071"
691,"SRDB-1470","SRDB","SRDB-1470",
692,"SRDB-1479","SRDB","SRDB-1479",
693,"SRDB-1500","SRDB","SRDB-1500",
694,"SRDB-10031","SRDB","SRDB-10031",
695,"SRDB-1510","SRDB","SRDB-1510",
696,"SRDB-1518","SRDB","SRDB-1518",
697,"SRDB-1539","SRDB","SRDB-1539",
698,"SRDB-1565","SRDB","SRDB-1565",
699,"SRDB-1578","SRDB","SRDB-1578",
700,"SRDB-1639","SRDB","SRDB-1639",
701,"SRDB-1643","SRDB","SRDB-1643",
702,"SRDB-1647","SRDB","SRDB-1647",
703,"SRDB-1654","SRDB","SRDB-1654",
704,"SRDB-1656","SRDB","SRDB-1656",
705,"SRDB-1665","SRDB","SRDB-1665",
706,"SRDB-17","SRDB","SRDB-17",
707,"SRDB-1736","SRDB","SRDB-1736",
708,"SRDB-177","SRDB","SRDB-177",
709,"SRDB-10087","SRDB","SRDB-10087",
710,"SRDB-1844","SRDB","SRDB-1844",
711,"SRDB-1850","SRDB","SRDB-1850",
712,"SRDB-1853","SRDB","SRDB-1853",
713,"SRDB-1871","SRDB","SRDB-1871",
714,"SRDB-1878","SRDB","SRDB-1878",
715,"SRDB-1891","SRDB","SRDB-1891",
716,"SRDB-10104","SRDB","SRDB-10104",
717,"SRDB-10208","SRDB","SRDB-10208",
718,"SRDB-1906","SRDB","SRDB-1906",
719,"SRDB-1908","SRDB","SRDB-1908",
720,"SRDB-1925","SRDB","SRDB-1925",
721,"SRDB-1932","SRDB","SRDB-1932",
722,"SRDB-1954","SRDB","SRDB-1954",
723,"SRDB-1971","SRDB","SRDB-1971",
