Year,Sample,Temp_range,moisture,moisture_units,Q10,Species,Latitude,Longitude,Manipulation,Ecosystem_type,Biome,Source,Incubation,notes,StudyName,DOI
,,5_15,25,percent WFPS,2.22,N2O,28_55'N,111_26'E,,,,Xing2021,,,Xing2021,https://doi.org/10.1128/AEM.02965-20
,,15_25,25,percent WFPS,17.75,N2O,28_55'N,111_26'E,,,,Xing2021,,,Xing2021,https://doi.org/10.1128/AEM.02965-20
,,25_35,25,percent WFPS,1.5,N2O,28_55'N,111_26'E,,,,Xing2021,,,Xing2021,https://doi.org/10.1128/AEM.02965-20
,,,,,,,,,,,,,,,,
,,19_35,,,2,N2O,,,,,,Phillips2014,lab,,Phillips2014,https://doi.org/10.1080/00288233.2014.969380
,,19_35,,,1.4,N2,,,,,,Phillips2014,lab,,Phillips2014,https://doi.org/10.1080/00288233.2014.969380
,,19_35,,,1.6,CO2,,,,,,Phillips2014,lab,,Phillips2014,https://doi.org/10.1080/00288233.2014.969380
,,,,,,,,,,,,,,,,
,beach,,,,1.54,N2O,,,,,,Siciliano2009,,nitrate added,Siciliano2009,https://doi.org/10.1016/j.soilbio.2009.02.024
,beach,,,,0.67,N2O,,,,,,Siciliano2009,,ammonia added,Siciliano2009,https://doi.org/10.1016/j.soilbio.2009.02.024
,slope,,,,1.61,N2O,,,,,,Siciliano2009,,nitrate added,Siciliano2009,https://doi.org/10.1016/j.soilbio.2009.02.024
,slope,,,,0.89,N2O,,,,,,Siciliano2009,,ammonia added,Siciliano2009,https://doi.org/10.1016/j.soilbio.2009.02.024
,sedge,,,,3.61,N2O,,,,,,Siciliano2009,,nitrate added,Siciliano2009,https://doi.org/10.1016/j.soilbio.2009.02.024
,,,,,,,,,,,,,,,,
,,,,,3.9,N2O,,,,,,Jianwen2004,,,Jianwen2004,https://doi.org/10.1007/BF02916366
,,,,,2.3,CO2,,,,,,Jianwen2004,,,Jianwen2004,https://doi.org/10.1007/BF02916366
,,,,,,,,,,,,,,,,
,,0_30,,,2,N2O,,,,,,vanderWeerden1999,,,Muller1995,
,,0_30,,,2,CH4,,,,,,vanderWeerden1999,,,Roslev1997,https://doi.org/10.1128/aem.63.3.874-880.1997 
,,,,,,,,,,,,,,,,
,,,,,2.21,N2O,,,,,,Yingfang2018,,,Yingfang2018,https://doi.org/10.15244/pjoes/76795
,,,,,,,,,,,,,,,,
,drained,0_25,70,percent WFPS,2.17,N2O,,,,,,Eickenscheidt2014,,,Eickenscheidt2014,https://doi.org/10.5194/bg-11-2961-2014
,drained,0_15,100,percent WFPS,2.12,N2O,,,,,,Eickenscheidt2014,,,Eickenscheidt2014,https://doi.org/10.5194/bg-11-2961-2014
,undrained,0_25,70,percent WFPS,1.51,N2O,,,,,,Eickenscheidt2014,,,Eickenscheidt2014,https://doi.org/10.5194/bg-11-2961-2014
,undrained,0_15,100,percent WFPS,2.07,N2O,,,,,,Eickenscheidt2014,,,Eickenscheidt2014,https://doi.org/10.5194/bg-11-2961-2014
,drained,0_25,70,percent WFPS,2.03,N2,,,,,,Eickenscheidt2014,,,Eickenscheidt2014,https://doi.org/10.5194/bg-11-2961-2014
,drained,0_15,100,percent WFPS,1.48,N2,,,,,,Eickenscheidt2014,,,Eickenscheidt2014,https://doi.org/10.5194/bg-11-2961-2014
,undrained,0_25,83,percent WFPS,2.13,N2,,,,,,Eickenscheidt2014,,,Eickenscheidt2014,https://doi.org/10.5194/bg-11-2961-2014
,,,,,,,,,,,,,,,,
,mineral fertilizer,,,,2,DN,,,,,,Ellis1998,,,Ellis1998,https://doi.org/10.1023/A:1004332209345
,organic manure,,,,2.6,DN,,,,,,Ellis1998,,,Ellis1998,https://doi.org/10.1023/A:1004332209345
,mineral fertilizer,,,,1.3,N2O,,,,,,Ellis1998,,,Ellis1998,https://doi.org/10.1023/A:1004332209345
,organic manure,,,,0.7,N2O,,,,,,Ellis1998,,,Ellis1998,https://doi.org/10.1023/A:1004332209345
,,,,,,,,,,,,,,,,
,,,,,1.55,CO2,,,control,,,Qu2020,,,Qu2020,https://doi.org/10.1016/j.scitotenv.2020.144277
,,,,,1.68,CH4,,,control,,,Qu2020,,,Qu2020,https://doi.org/10.1016/j.scitotenv.2020.144277
,,,,,1.66,N2O,,,control,,,Qu2020,,,Qu2020,https://doi.org/10.1016/j.scitotenv.2020.144277
,,,,,,,,,,,,,,,,
,CM,,,,2.13,CO2,,,control,,,Zhang2021,,,Zhang2021,https://doi.org/10.1186/s40663-021-00285-0
,IM,,,,2.37,CO2,,,control,,,Zhang2021,,,Zhang2021,https://doi.org/10.1186/s40663-021-00285-0
,,,,,2.1,CO2,,,,,,Zhang2021,,,Song2014,https://doi.org/10.1016/j.atmosenv.2014.05.071
,,,,,2.08,CO2,,,,,,Zhang2021,,,Wang2011,https://doi.org/10.13287/j.1001-9332.2011.0166
,,,,,,,,,,,,,,,,
,,,,,3.94,CO2,,,control,,,Li2019,,,Li2019,https://doi.org/10.3390/f10090808
,,,,,4.37,CO2,,,nitrogen,,,Li2019,,,Li2019,https://doi.org/10.3390/f10090808
,,,,,3.89,CO2,,,warming,,,Li2019,,,Li2019,https://doi.org/10.3390/f10090808
,,,,,5.54,CO2,,,"warming, nitrogen",,,Li2019,,,Li2019,https://doi.org/10.3390/f10090808
,,,,,,,,,,,,,,,,
,,5_30,,,3.1,N2O,,,,,,Akiyama2002,,,Akiyama2002,https://doi.org/10.1023/A:1021102925159
,,5_30,,,8.7,NO,,,,,,Akiyama2002,,,Akiyama2002,https://doi.org/10.1023/A:1021102925159
,,,,,,,,,,,,,,,,
,,2_16,,,8.3,N2O,,,,,,Akiyama2002,,,Dobbie1999,https://doi.org/10.1029/1999JD900378
,,,,,,,,,,,,,,,,
,,,,,4.4,N2O,,,high-N,,,Yang2007,,,Yang2007,https://doi.org/10.1007/s11703-007-0006-y
